concept,shared,unique,total,pct_shared
Report the method used to assess study eligibility for inclusion in the review,28,8,36,77.77777777777779
Report the scientific literature databases used to conduct the literature search,28,8,36,77.77777777777779
Report the search terms used to conduct the literature search strategy for each each scientific literature database,28,8,36,77.77777777777779
Report any limitations in the review methodology,21,14,35,60
Report the data extracted from each included study,21,14,35,60
Report the effect measure used in the synthesis of the results,21,14,35,60
Report the methodology used to explore sources of heterogeneity,21,14,35,60
Report the results of the study selection process,21,14,35,60
Report any limitations applied to the search strategy,15,18,33,45.45454545454545
Report each data extraction variable for which data were sought,15,18,33,45.45454545454545
Report the characteristics extracted from each of the included studies,15,18,33,45.45454545454545
Report the eligibility criteria for the review,15,18,33,45.45454545454545
Report the implications of the review results,15,18,33,45.45454545454545
Report the method used in sensitivity analysis to test the robustness of the results,15,18,33,45.45454545454545
Report the method used to assess for potential risk of bias due to missing studies,15,18,33,45.45454545454545
Report the methodology used to assess the risk of bias in studies included in the review,15,18,33,45.45454545454545
Report the methodology used to conduct the review,15,18,33,45.45454545454545
Report the number of reviewers who conducted the data collection process,15,18,33,45.45454545454545
Report the questions the authors sought to address in the review,15,18,33,45.45454545454545
Report the rationale for conducting the review,15,18,33,45.45454545454545
Report the structure of each model used in the statistical synthesis,15,18,33,45.45454545454545
Report any limitations identified in the studies included in the review,10,20,30,33.33333333333333
Report the complete quantitative results of the statistical synthesis,10,20,30,33.33333333333333
Report the effect size point estimates for each individual study,10,20,30,33.33333333333333
Report the error around the pooled effect size point estimates,10,20,30,33.33333333333333
Report the implications of the review results for future research,10,20,30,33.33333333333333
Report the relevant study designs in eligiblity criteria of the review,10,20,30,33.33333333333333
Report the relevant timeframe in eligiblity criteria of the review,10,20,30,33.33333333333333
Report the results from each of the sensitivity analysis,10,20,30,33.33333333333333
Report the results from the publiction bias assessment,10,20,30,33.33333333333333
Report the results of the heterogeneity assessment,10,20,30,33.33333333333333
Report the results of the risk of bias assessment,10,20,30,33.33333333333333
Report the search terms used to conduct the literature search strategy for each registry,10,20,30,33.33333333333333
Report the sources and types of financial or non-financial support received for the review,10,20,30,33.33333333333333
Report the strategy to perform the statistical synthesis,10,20,30,33.33333333333333
Report the strategy used to address missing data for the variables of interest,10,20,30,33.33333333333333
Report the strategy used to collect data from the studies included in the review,10,20,30,33.33333333333333
Report the total number of records identified across all sources in the literature search strategy,10,20,30,33.33333333333333
Report an interpretation of the results,6,20,26,23.076923076923077
Report any conflicts of interest that may influence the results of the review,6,20,26,23.076923076923077
Report any contact with study authors to retrieve additional information relevant to the data collection process,6,20,26,23.076923076923077
Report any contact with study authors to retrieve additional information relevant to the literature search strategy,6,20,26,23.076923076923077
Report any deviations from the protocol or preregistration,6,20,26,23.076923076923077
Report each of the studies excluded during full-text screening,6,20,26,23.076923076923077
