concept,n_groups_present,pct_groups_present,tier
Report the scientific literature databases used to conduct the literature search,44,75.86206896551724,Core (>=75% groups)
Report the methodology used to assess the risk of bias in studies included in the review,39,67.24137931034483,Common (25-75% groups)
Report the eligibility criteria for the review,38,65.51724137931035,Common (25-75% groups)
Report the methodology used to conduct the review,38,65.51724137931035,Common (25-75% groups)
Report the characteristics extracted from each of the included studies,37,63.793103448275865,Common (25-75% groups)
Report the search terms used to conduct the literature search strategy for each each scientific literature database,36,62.06896551724138,Common (25-75% groups)
Report the strategy to perform the statistical synthesis,35,60.3448275862069,Common (25-75% groups)
Report any limitations in the review methodology,33,56.896551724137936,Common (25-75% groups)
Report the method used to assess study eligibility for inclusion in the review,33,56.896551724137936,Common (25-75% groups)
Report the sources and types of financial or non-financial support received for the review,33,56.896551724137936,Common (25-75% groups)
Report each data extraction variable for which data were sought,32,55.172413793103445,Common (25-75% groups)
Report the implications of the review results,32,55.172413793103445,Common (25-75% groups)
Report the rationale for conducting the review,32,55.172413793103445,Common (25-75% groups)
Report the strategy used to collect data from the studies included in the review,31,53.44827586206896,Common (25-75% groups)
Report the questions the authors sought to address in the review,30,51.724137931034484,Common (25-75% groups)
Report the results of the risk of bias assessment,30,51.724137931034484,Common (25-75% groups)
Report the results of the study selection process,30,51.724137931034484,Common (25-75% groups)
Report any limitations applied to the search strategy,29,50,Common (25-75% groups)
Report the effect measure used in the synthesis of the results,29,50,Common (25-75% groups)
Report the methodology used to explore sources of heterogeneity,29,50,Common (25-75% groups)
Report an interpretation of the results,28,48.275862068965516,Common (25-75% groups)
Report the implications of the review results for future research,28,48.275862068965516,Common (25-75% groups)
Report the number of reviewers who conducted the data collection process,27,46.55172413793103,Common (25-75% groups)
Report whether a protocol or preregistration is publicly available,27,46.55172413793103,Common (25-75% groups)
Report the objectives of the review,26,44.827586206896555,Common (25-75% groups)
Report the name of the registry for the preregistration/protocol,25,43.103448275862064,Common (25-75% groups)
Report each of the studies excluded during full-text screening,24,41.37931034482759,Common (25-75% groups)
Report the structure of each model used in the statistical synthesis,24,41.37931034482759,Common (25-75% groups)
Report any limitations identified in the studies included in the review,23,39.6551724137931,Common (25-75% groups)
Report the implications of the review results for policy,23,39.6551724137931,Common (25-75% groups)
Report the registration number of the preregistration/protocol,23,39.6551724137931,Common (25-75% groups)
Report the date that the literature search was conducted,22,37.93103448275862,Common (25-75% groups)
Report the relevant timeframe in eligiblity criteria of the review,22,37.93103448275862,Common (25-75% groups)
Report whether the data extraction was conducted independently,22,37.93103448275862,Common (25-75% groups)
Report any contact with study authors to retrieve additional information relevant to the literature search strategy,21,36.206896551724135,Common (25-75% groups)
Report the relevant study designs in eligiblity criteria of the review,21,36.206896551724135,Common (25-75% groups)
Report the results from each of the sensitivity analysis,21,36.206896551724135,Common (25-75% groups)
Report the results of the heterogeneity assessment,21,36.206896551724135,Common (25-75% groups)
Report the framework used to formulate the review question,20,34.48275862068966,Common (25-75% groups)
Report the registries used in the literature search,20,34.48275862068966,Common (25-75% groups)
Report the error around the pooled effect size point estimates,19,32.758620689655174,Common (25-75% groups)
Report the implications of the review results for practice,19,32.758620689655174,Common (25-75% groups)
Report the method used to assess for potential risk of bias due to missing studies,19,32.758620689655174,Common (25-75% groups)
Report the relevant interventions in eligiblity criteria of the review,19,32.758620689655174,Common (25-75% groups)
Report the error around the pooled effect size point estimate,18,31.03448275862069,Common (25-75% groups)
Report the relevant populations in eligiblity criteria of the review,18,31.03448275862069,Common (25-75% groups)
Report the result of the exploration of heterogeneity,17,29.310344827586203,Common (25-75% groups)
Report any additional analyses conducted in the review,16,27.586206896551722,Common (25-75% groups)
Report the financial support received for the review,16,27.586206896551722,Common (25-75% groups)
Report the method used in sensitivity analysis to test the robustness of the results,16,27.586206896551722,Common (25-75% groups)
Report the effect size point estimates for each individual study,15,25.862068965517242,Common (25-75% groups)
Report any deviations from the protocol or preregistration,14,24.137931034482758,Peripheral (<25% groups)
Report the pooled effect size point estimate,14,24.137931034482758,Peripheral (<25% groups)
Report the strategy used to address missing data for the variables of interest,14,24.137931034482758,Peripheral (<25% groups)
Report the studies which were used to conduct a citation search,14,24.137931034482758,Peripheral (<25% groups)
Report the summary effect size point estimates,14,24.137931034482758,Peripheral (<25% groups)
Report the data extracted from each included study,13,22.413793103448278,Peripheral (<25% groups)
Report the methodology used to prepare the data for statistical synthesis,13,22.413793103448278,Peripheral (<25% groups)
Report the number of reviewers who conducted the selection process,13,22.413793103448278,Peripheral (<25% groups)
Report the relevant comparators in eligiblity criteria of the review,13,22.413793103448278,Peripheral (<25% groups)
Report the method used to visualise the results of the synthesis,12,20.689655172413794,Peripheral (<25% groups)
Report the methodology used to assess heterogeneity,12,20.689655172413794,Peripheral (<25% groups)
Report the populations used in each study included in the statistical synthesis,12,20.689655172413794,Peripheral (<25% groups)
Report the rationale for selecting the methodology used to conduct the review,12,20.689655172413794,Peripheral (<25% groups)
Report any contact with study authors to retrieve additional information relevant to the data collection process,11,18.96551724137931,Peripheral (<25% groups)
Report the complete quantitative results of the statistical synthesis,11,18.96551724137931,Peripheral (<25% groups)
Report the interventions used in each study synthesised in the review,11,18.96551724137931,Peripheral (<25% groups)
Report the results from the certainty of the evidence assessment,11,18.96551724137931,Peripheral (<25% groups)
Report the total number of records identified across all sources in the literature search strategy,11,18.96551724137931,Peripheral (<25% groups)
Report a citation for each of the studies included in the review,10,17.24137931034483,Peripheral (<25% groups)
Report the rationale for selecting each of the variables in the data collection process,10,17.24137931034483,Peripheral (<25% groups)
Report the software used to perform the statistical synthesis,10,17.24137931034483,Peripheral (<25% groups)
Report each outcome for which data were extracted from the included studies,9,15.517241379310345,Peripheral (<25% groups)
Report the reason for exclusion for each study rejected at full-text screening,9,15.517241379310345,Peripheral (<25% groups)
Report the search terms used to conduct the literature search strategy for each registry,9,15.517241379310345,Peripheral (<25% groups)
Report the strategy to retrieve grey literature,9,15.517241379310345,Peripheral (<25% groups)
Report any conflicts of interest that may influence the results of the review,8,13.793103448275861,Peripheral (<25% groups)
Report the metadata associated with each data extraction variable,8,13.793103448275861,Peripheral (<25% groups)
