concept,shared,unique,total,pct_shared
Report a citation for each of the studies included in the evidence synthesis,3,0,3,100
Report a measure of precision around the effect size point estimate for each study included in the meta-analysis,3,0,3,100
Report a measure of precision around the pooled effect size point estimate,3,0,3,100
Report a measure of statistical heterogeneity associated with the pooled effect size estimate,3,0,3,100
Report an interpretation of the results,3,0,3,100
Report any additional literature search strategies used in the evidence synthesis,3,0,3,100
Report any assumptions made during the data collection process,3,0,3,100
Report any conflicts of interest that may influence the conduct or results of the evidence synthesis,3,0,3,100
Report any contact with study authors to retrieve additional information relevant to the data collection process,3,0,3,100
Report any contact with study authors to retrieve additional information relevant to the literature search strategy,3,0,3,100
Report any data transformations applied to prepare extracted data for meta-analysis,3,0,3,100
Report any deviations from the registered protocol,3,0,3,100
Report any limitations applied to the search strategy,3,0,3,100
Report any limitations in the conducted evidence synthesis,3,0,3,100
Report any limitations in the studies included in the evidence synthesis,3,0,3,100
Report each of the data extraction variables extracted,3,0,3,100
Report each of the studies excluded during full-text screening,3,0,3,100
Report the characteristics extracted from each studies included in the evidence synthesis,3,0,3,100
Report the complete results from the meta-analysis,3,0,3,100
Report the data characteristics of studies included in the meta-analysis,3,0,3,100
Report the dates that the scientific literature database searches were conducted,3,0,3,100
Report the dependency structure between effect size measures accounted for in the meta-analysis,3,0,3,100
Report the description associated with each data extraction variable,3,0,3,100
Report the direction of the pooled effect size point estimate,3,0,3,100
Report the effect size point estimates for each study included in the meta-analysis,3,0,3,100
Report the eligibility criteria for the evidence synthesis,3,0,3,100
Report the formula used to calculate the effect size measure,3,0,3,100
Report the framework used to formulate the evidence synthesis question,3,0,3,100
Report the implications of the evidence synthesis results,3,0,3,100
Report the implications of the evidence synthesis results for future research,3,0,3,100
Report the implications of the evidence synthesis results for policy,3,0,3,100
Report the implications of the evidence synthesis results for practice,3,0,3,100
Report the interventions used in each study included in the evidence synthesis,3,0,3,100
Report the method used in sensitivity analysis to test the robustness of the meta-analysis results,3,0,3,100
Report the method used to assess risk of bias due to missing results,3,0,3,100
Report the method used to assess study eligibility for inclusion in the evidence synthesis,3,0,3,100
Report the method used to assess the risk of bias,3,0,3,100
Report the method used to explore potential sources of heterogeneity,3,0,3,100
Report the method used to handle missing data required for meta-analysis,3,0,3,100
Report the method used to visualise the results of the meta-analysis,3,0,3,100
Report the methodology used to assess heterogeneity,3,0,3,100
Report the methodology used to conduct the evidence synthesis,3,0,3,100
Report the name of the effect size measure used,3,0,3,100
Report the name of the registry holding the protocol,3,0,3,100
Report the number of reviewers who conducted the data collection process,3,0,3,100
Report the number of reviewers who conducted the risk of bias assessment,3,0,3,100
Report the number of reviewers who conducted the selection process,3,0,3,100
Report the number of studies included in the statistical syntheis,3,0,3,100
Report the objectives of the evidence synthesis,3,0,3,100
Report the outcomes for which data were extracted,3,0,3,100
Report the pooled effect size point estimate,3,0,3,100
Report the populations used in each study included in the evidence synthesis,3,0,3,100
Report the questions the authors sought to address in the evidence synthesis,3,0,3,100
Report the rationale for conducting the evidence synthesis,3,0,3,100
Report the rationale for selecting the models used to perform the meta-analysis,3,0,3,100
Report the raw data extracted from each of the studies included in the evidence synthesis,3,0,3,100
Report the registration number of the protocol,3,0,3,100
Report the registries used to conduct the literature search,3,0,3,100
Report the relevant comparators in the eligibility criteria of the evidence synthesis,3,0,3,100
Report the relevant interventions in the eligibility criteria of the evidence synthesis,3,0,3,100
Report the relevant populations in the eligibility criteria of the evidence synthesis,3,0,3,100
Report the relevant study designs in the eligibility criteria of the evidence synthesis,3,0,3,100
Report the relevant timeframe in the eligibility criteria of the evidence synthesis,3,0,3,100
Report the results from each of the sensitivity analysis,3,0,3,100
Report the results from the certainty of the evidence assessment,3,0,3,100
Report the results of any analyses used to explore sources of heterogeneity,3,0,3,100
Report the results of the assessment of risk of bias due to missing results,3,0,3,100
Report the results of the risk of bias assessment,3,0,3,100
Report the results of the study selection process,3,0,3,100
Report the sample size from each of the studies included in the meta-analysis,3,0,3,100
Report the scientific literature databases used to conduct the literature search,3,0,3,100
Report the search terms used in each registry,3,0,3,100
Report the search terms used in each scientific literature database,3,0,3,100
Report the software packages used to perform the meta-analysis,3,0,3,100
Report the software used to conduct the data collection process,3,0,3,100
Report the software used to perform the meta-analysis,3,0,3,100
Report the sources of support received for conducting the evidence synthesis,3,0,3,100
Report the strategy to perfom the literature search,3,0,3,100
Report the strategy used to collect data from the studies included in the evidence synthesis,3,0,3,100
Report the strategy used to perform the meta-analysis,3,0,3,100
Report the structure of each model used to perform the meta-analysis,3,0,3,100
Report the studies which were used to conduct the citation search,3,0,3,100
Report the summary effect size point estimates,3,0,3,100
Report the tool(s) used to conduct the certainity of evidence assessment,3,0,3,100
Report the tool(s) used to conduct the risk of bias assessment,3,0,3,100
Report the total number of records identified across all sources in the literature search strategy,3,0,3,100
Report the total number of studies included in the evidence synthesis,3,0,3,100
Report the use of automation tool(s) in the data collection process,3,0,3,100
Report the use of automation tool(s) in the literature selection process,3,0,3,100
Report the version number of the evidence synthesis,3,0,3,100
Report whether risk of bias assessment was conducted independently,3,0,3,100
Report whether the data collection process was conducted independently,3,0,3,100
Report whether the literature screening was conducted independently,3,0,3,100
Report whether there is a publicly available protocol for the evidence synthesis,3,0,3,100
Report a measure of precision of the results of any analyses used to explore sources of heterogeneity,1,2,3,33.33333333333333
Report a visualisation of the pooled effect size point estimate,1,2,3,33.33333333333333
Report any changes to the results during the update of the review,1,2,3,33.33333333333333
Report any contact with organisations to retrieve additional information relevant to the literature search strategy,1,2,3,33.33333333333333
