concept,n_groups_present,pct_groups_present,tier
Report any limitations in the review methodology,8,80,Core (>=75% groups)
Report the characteristics extracted from each of the included studies,8,80,Core (>=75% groups)
Report the method used to assess study eligibility for inclusion in the review,8,80,Core (>=75% groups)
Report the results of the study selection process,8,80,Core (>=75% groups)
Report each data extraction variable for which data were sought,7,70,Common (25-75% groups)
Report the methodology used to assess the risk of bias in studies included in the review,7,70,Common (25-75% groups)
Report the methodology used to conduct the review,7,70,Common (25-75% groups)
Report the scientific literature databases used to conduct the literature search,7,70,Common (25-75% groups)
Report the strategy to perform the statistical synthesis,7,70,Common (25-75% groups)
Report an interpretation of the results,6,60,Common (25-75% groups)
Report the eligibility criteria for the review,6,60,Common (25-75% groups)
Report the objectives of the review,6,60,Common (25-75% groups)
Report the questions the authors sought to address in the review,6,60,Common (25-75% groups)
Report the rationale for selecting the methodology used to conduct the review,6,60,Common (25-75% groups)
Report the sources and types of financial or non-financial support received for the review,6,60,Common (25-75% groups)
Report the strategy used to collect data from the studies included in the review,6,60,Common (25-75% groups)
Report any contact with study authors to retrieve additional information relevant to the literature search strategy,5,50,Common (25-75% groups)
Report any limitations applied to the search strategy,5,50,Common (25-75% groups)
Report each of the studies excluded during full-text screening,5,50,Common (25-75% groups)
Report the complete quantitative results of the statistical synthesis,5,50,Common (25-75% groups)
Report the date that the literature search was conducted,5,50,Common (25-75% groups)
Report the implications of the review results,5,50,Common (25-75% groups)
Report the number of reviewers who conducted the selection process,5,50,Common (25-75% groups)
Report the rationale for conducting the review,5,50,Common (25-75% groups)
Report the relevant study designs in eligiblity criteria of the review,5,50,Common (25-75% groups)
Report the relevant timeframe in eligiblity criteria of the review,5,50,Common (25-75% groups)
Report the search terms used to conduct the literature search strategy for each each scientific literature database,5,50,Common (25-75% groups)
Report any deviations from the protocol or preregistration,4,40,Common (25-75% groups)
Report the affiliations for each author,4,40,Common (25-75% groups)
Report the effect measure used in the synthesis of the results,4,40,Common (25-75% groups)
Report the framework used to formulate the review question,4,40,Common (25-75% groups)
Report the name of the registry for the preregistration/protocol,4,40,Common (25-75% groups)
Report the rationale for selecting each of the variables in the data collection process,4,40,Common (25-75% groups)
Report the registration number of the preregistration/protocol,4,40,Common (25-75% groups)
Report the registries used in the literature search,4,40,Common (25-75% groups)
Report the relevant populations in eligiblity criteria of the review,4,40,Common (25-75% groups)
Report the relevant publication status in eligibility criteria of the review,4,40,Common (25-75% groups)
Report the results of the risk of bias assessment,4,40,Common (25-75% groups)
Report the strategy to retrieve grey literature,4,40,Common (25-75% groups)
Report the total number of records identified across all sources in the literature search strategy,4,40,Common (25-75% groups)
Report any conflicts of interest that may influence the results of the review,3,30,Common (25-75% groups)
Report any ethics approval that was sought in the review,3,30,Common (25-75% groups)
Report any limitations identified in the studies included in the review,3,30,Common (25-75% groups)
Report each outcome for which data were extracted from the included studies,3,30,Common (25-75% groups)
Report the aim of the review,3,30,Common (25-75% groups)
Report the data extracted from each included study,3,30,Common (25-75% groups)
Report the dependency structure accounted for in the statistical analysis,3,30,Common (25-75% groups)
Report the financial support received for the review,3,30,Common (25-75% groups)
Report the full name of each of the authors,3,30,Common (25-75% groups)
Report the implications of the review results for future research,3,30,Common (25-75% groups)
Report the implications of the review results for policy,3,30,Common (25-75% groups)
Report the implications of the review results for practice,3,30,Common (25-75% groups)
Report the method used to assess consistency of data extraction between the reviewers who conducted screening,3,30,Common (25-75% groups)
Report the method used to assess for potential risk of bias due to missing studies,3,30,Common (25-75% groups)
