key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,PDF.files,X..,title2
rayyan-322868436,SGML template driven database extraction: A new approach to report generation - SGML EUROPE `97 - CONFERENCE PROCEEDINGS,1997,NA,,,,NA,NA,311-316,"Chahuneau, F and Guennou, S and Blavier, A",,English,GRAPHIC COMMUNICATIONS ASSOC,"100 DAINGERFIELD ROAD, ALEXANDRIA, VA 22314-2888","Generation of SGML-coded documents as a result of database query processes is a commonly used practice. In most cases, however, the contents of such documents are entirely built from scratch as an SGML-formatted image of the query results. We present an extension to this practice, in cases when documents are made of a combination of human-generated parts and database originated parts. When such documents are updated, human-generated parts should remain untouched, while database originated parts (text, tables and graphics) should be regenerated or updated. The method used here is that of SGML templates, which embed links targeted to a database. Such a technique can be used in many application fields, ranging from Web applications to industrial catalog publishing, where complex, human-generated document structures coexist with database extracts.","Standard Generalized Markup Language Conference on the Next Decade - Pushing the Envelope (SGML Europe 97), BARCELONA, SPAIN, MAY 13-15, 1997",,,NA,,NA,NA,sgml template driven database extraction a new approach to report generation sgml europe `97 conference proceedings
rayyan-322868437,"An integrated approach for automatic semantic structure extraction in document images - DOCUMENT ANALYSIS SYSTEMS VI, PROCEEDINGS",2004,NA,,,0302-9743,3163,NA,179-190,"Berardi, M and Lapi, M and Malerba, D",,English,SPRINGER-VERLAG BERLIN,"HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY","In this paper we present an integrated approach for semantic structure extraction in document images. Document images are initially processed to extract both their layout and logical structures on the base of geometrical and spatial information. Then, textual content of logical components is employed for automatic semantic labeling of layout structures. To support the whole process different machine learning techniques are applied. Experimental results on a set of biomedical multi-page documents are discussed and future directions are drawn.","6th International Workshop on Document Analysis Systems, Florence, ITALY, SEP 08-10, 2004",,,NA,,NA,NA,an integrated approach for automatic semantic structure extraction in document images document analysis systems vi proceedings
rayyan-322868439,Optimization of scientific publications clustering with ensemble approach for topic extraction,2023,5,,SCIENTOMETRICS,0138-9130,128,5,2819-2877,"Al-Betar, Mohammed Azmi and Abasi, Ammar Kamal and Al-Naymat, Ghazi and Arshad, Kamran and Makhadmeh, Sharif Naser",,English,SPRINGER,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","The continually developing Internet generates a considerable amount of text data. When attempting to extract general topics or themes from a massive corpus of documents, dealing with such a large volume of text data in an unstructured format is a big problem. Text document clustering (TDC) is a technique for grouping texts based on their content similarity. Partitioning text collection based on the documents' content significance is one of the most challenging tasks at TDC. This study proposes the Bare-Bones Based Salp Swarm Algorithm (BBSSA) to solve the problem of TDC. In addition, to extract the topics from the clusters, an ensemble approach for automatic topic extraction (TE) is proposed. The proposed BBSSA and the ensemble TE approach are tested using six standard benchmarks and six scientific publishing datasets from top QS ranking UAE universities. BBSSA's findings are compared with sixteen well-known techniques, including eleven metaheuristic algorithms, such as the Whale Optimization Algorithm (WOA), Firefly Algorithm (FFA), Bat Algorithm (BAT), Harmony Search (HS), Particle Swarm Optimization (PSO), Genetic Algorithm (GA), Multi-Verse Optimizer (MVO), Grey Wolf Optimizer (GWO), Moth-Flame Optimization (MFO), Krill Herd Algorithm (KHA), SSA, and five clustering methods, such as K-means++, K-means, Density-based Spatial Clustering of Applications with Noise (DBSCAN), Spectral, and Agglomerative. The results of the ensemble TE approach are compared with those of seven well-known statistical methods, including Mutual Information (MI), TextRank (TR), Co-Occurrence Statistical Information-based Keyword Extraction (CSI), Term Frequency-Inverse Document Frequency (TF-IDF), most frequent based keyword extraction (TF), YAKE!, and RAKE. According to the experiments, the BBSSA outperforms all other approaches and is exceedingly competitive. The results also reveal that for most datasets, the proposed ensemble TE strategy outperforms all existing TE methods based on external metrics. Thus, the ensemble TE approach can be seen as a supplement to the other methods.",,10.1007/s11192-023-04674-w,Scientific publications clustering; Topic extraction; Ensemble method; Salp swarm algorithm; Bare...,NA,,NA,NA,optimization of scientific publications clustering with ensemble approach for topic extraction
rayyan-322868441,A robust pipelined granular approach for enhanced efficiency in document text summarisation using hierarchical categorisation and feature extraction techniques,2025,NA,,INTERNATIONAL JOURNAL OF AD HOC AND UBIQUITOUS COMPUTING,1743-8225,49,4,225-232,"Dheeravath, Krishna and Saritha, S. Jessica",,English,INDERSCIENCE ENTERPRISES LTD,"WORLD TRADE CENTER BLDG, 29 ROUTE DE PRE-BOIS, CASE POSTALE 856, CH-1215 GENEVA, SWITZERLAND","The exponential growth of digital textual data presents challenges for traditional text summarisation methods, especially due to natural language complexity and high dimensionality. This work proposes a pipelined granular approach to enhance summarisation efficiency by addressing semantic ambiguity, high dimensionality, and scalability. The methodology comprises two phases: optimised feature selection and advanced rule-based categorisation. In the first phase, a granular approach using a discernibility matrix and iterative optimisation reduces dimensionality while retaining key features for accuracy. The second phase employs hierarchical categorisation to generate precise rules, ensuring adaptability and scalability across diverse domains. Experimental benchmarking and complexity analysis validate the approach, demonstrating notable improvements in summarisation accuracy and computational efficiency. The integration of granular feature extraction and hierarchical categorisation effectively tackles key challenges, making the approach suitable for large-scale document analytics across various applications.",,10.1504/IJAHUC.2025.147752,feature extraction; text summarisation; hierarchical categorisation; natural language processing;...,NA,,NA,NA,a robust pipelined granular approach for enhanced efficiency in document text summarisation using hierarchical categorisation and feature extraction techniques
rayyan-322868442,Lack of transparent reporting of trial monitoring approaches in randomised controlled trials: A systematic review of contemporary protocol papers,2023,4,,CLINICAL TRIALS,1740-7745,20,2,121-132,"Hsieh, Shao-Fan and Yorke-Edwards, Victoria and Murray, Macey L. and Diaz-Montana, Carlos and Love, Sharon B. and Sydes, Matthew R.",,English,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND","Background: Monitoring is essential to ensure patient safety and data integrity in clinical trials as per Good Clinical Practice. The Standard Protocol Items: Recommendations for Interventional Trials Statement and its checklist guides authors to include monitoring in their protocols. We investigated how well monitoring was reported in published `protocol papers' for contemporary randomised controlled trials. Methods: A systematic search was conducted in PubMed to identify eligible protocol papers published in selected journals between 1 January 2020 and 31 May 2020. Protocol papers were classified by whether they reported monitoring and, if so, by the details of monitoring. Data were summarised descriptively. Results: Of 811 protocol papers for randomised controlled trials, 386 (48\%; 95\% CI: 44\%-51\%) explicitly reported some monitoring information. Of these, 20\% (77/386) reported monitoring information consistent with an on-site monitoring approach, and 39\% (152/386) with central monitoring, 26\% (101/386) with a mixed approach, while 14\% (54/386) did not provide sufficient information to specify an approach. Only 8\% (30/386) of randomised controlled trials reported complete details about all of scope, frequency and organisation of monitoring; frequency of monitoring was the least reported. However, 6\% (25/386) of papers used the term `audit' to describe `monitoring'. Discussion: Monitoring information was reported in only approximately half of the protocol papers. Suboptimal reporting of monitoring hinders the clinical community from having the full information on which to judge the validity of a trial and jeopardises the value of protocol papers and the credibility of the trial itself. Greater efforts are needed to promote the transparent reporting of monitoring to journal editors and authors.",,10.1177/17407745221143449,Systematic review; trial monitoring; on-site monitoring; central monitoring; risk-based monitorin...,NA,,NA,NA,lack of transparent reporting of trial monitoring approaches in randomised controlled trials a systematic review of contemporary protocol papers
rayyan-322868443,"Enhancing Document Information Analysis with Multi-Task Pre-training: A Robust Approach for Information Extraction in Visually-Rich Documents - 2024 INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS, IJCNN 2024",2024,NA,,,2161-4393,NA,NA,,"Ali, Tofik and Roy, Partha Pratim",,English,IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA","This paper introduces a deep learning model tailored for document information analysis, emphasizing document classification, entity relation extraction, and document visual question answering. The proposed model leverages transformerbased models to encode all the information present in a document image, including textual, visual, and layout information. The model is pre-trained and subsequently fine-tuned for various document image analysis tasks. The proposed model incorporates three additional tasks during the pre-training phase, including reading order identification of different layout segments in a document image, layout segments categorization as per PubLayNet, and generation of the text sequence within a given layout segment (text block). The model also incorporates a collective pretraining scheme where losses of all the tasks under consideration, including pre-training and fine-tuning tasks with all datasets, are considered. Additional encoder and decoder blocks are added to the RoBERTa network to generate results for all tasks. The proposed model achieved impressive results across all tasks, with an accuracy of 95.87\% on the RVL-CDIP dataset for document classification, F1 scores of 0.9306, 0.9804, 0.9794, and 0.8742 on the FUNSD, CORD, SROIE, and Kleister-NDA datasets respectively for entity relation extraction, and an ANLS score of 0.8468 on the DocVQA dataset for visual question answering. The results highlight the effectiveness of the proposed model in understanding and interpreting complex document layouts and content, making it a promising tool for document analysis tasks.","International Joint Conference on Neural Networks (IJCNN), Yokohama, JAPAN, JUN 30-JUL 05, 2024",10.1109/IJCNN60899.2024.10651151,Document Visual Question Answering; Document; Information Analysis; Deep Learning; Transformer Mo...,NA,,NA,NA,enhancing document information analysis with multitask pretraining a robust approach for information extraction in visuallyrich documents 2024 international joint conference on neural networks ijcnn 2024
rayyan-322868447,INVESTIGATING THE VALIDITY OF THE READINESS FOR INPATIENT PSYCHOTHERAPY SCALE (RIPS): COMPARISONS WITH THE CHILD BEHAVIOR CHECKLIST (CBCL) AND THE YOUTH SELF-REPORT (YSR) WITH AN ADOLESCENT INPATIENT SAMPLE,2019,10,,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,0890-8567,58,10,S225,"Salaheldin, Khalid A. and Haggerty, Gregory D. and Chacko, Binu and Datta, Neha",,English,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA",,"66th Annual Meeting of the American-Academy-of-Child-and-Adolescent-Psychiatry (AACAP), Chicago, IL, OCT 14-19, 2019",10.1016/j.jaac.2019.08.258,,NA,,NA,NA,investigating the validity of the readiness for inpatient psychotherapy scale rips comparisons with the child behavior checklist cbcl and the youth selfreport ysr with an adolescent inpatient sample
rayyan-322868448,Multicenter survey on the validity of the CD-ROM guideline for antiarrhythmic drug therapy produced by the Japanese circulation society and the Japanese society on electrocardiology - Preliminary report of the survey of the Japanese Guideline for Arrhythmia Management by Individual Therapy (J-GAM...,2005,11,,CIRCULATION JOURNAL,1346-9843,69,11,1357-1360,"Katoh, T and Ohara, T and Ogawa, S and Kodama, I and Arrhythmi, Guideline Drug Treatment",,English,JAPANESE CIRCULATION SOC,"6th Floor, Uchikanda Central Building, 1-18-13 Uchikanda, Chiyoda-ku, TOYKO, 101-0047, JAPAN","Background A multicenter investigational survey (Japanese Guideline for Arrhythmia Management By Individual Therapy) was conducted to evaluate the validity of using CD-ROM guidelines vs physician choice for the selection of antiarrhythmic drugs. Methods and Results Patients with paroxysmal atrial fibrillation (PAF, n=274) or premature ventricular contractions (PVC, n=216) were enrolled. The rate of concordance for drug selection between the treating physician and the CD-ROM was 216 of 274 patients (78.8\%) with PAF. Of these, 168 (61.3\%) were concordant for first-line agents and the remaining 48 (17.5\%) were concordant for second-line agents. The concordance for the treatment of PVC was 154/216 cases (71.3\%). Of these, 106 (49.1\%) were concordant for first-line agents and the remaining 48 (22.2\%) were concordant for second-line agents. Nonconcordance for PAF therapy was more likely to occur for patients with underlying heart disease (p<0.05), depressed cardiac function (p<0.001), and with more frequent ECG abnormalities and renal dysfunction. These differences were not seen in patients with PVC. Conclusion The CD-ROM guidelines appear to be valid in the selection of antiarrhythmic drugs for both PAF and PVC, but their usefulness is influenced by the patient's clinical characteristics.",,10.1253/circj.69.1357,antiarrhythmic drugs; multicenter investigational survey; Sicilian Gambit; therapeutic guidelines,NA,,NA,NA,multicenter survey on the validity of the cdrom guideline for antiarrhythmic drug therapy produced by the japanese circulation society and the japanese society on electrocardiology preliminary report of the survey of the japanese guideline for arrhythmia management by individual therapy jgam
rayyan-322868449,Systematic overview finds variation in approaches to investigating and reporting on sources of heterogeneity in systematic reviews of diagnostic studies,2014,11,,JOURNAL OF CLINICAL EPIDEMIOLOGY,0895-4356,67,11,1200-1209,"Naaktgeboren, Christiana A. and van Enst, Wynanda A. and Ochodo, Eleanor A. and de Groot, Joris A. H. and Hooft, Lotty and Leeflang, Mariska M. and Bossuyt, Patrick M. and Moons, Karel G. M. and Reitsma, Johannes B.",,English,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Objectives: To examine how authors explore and report on sources of heterogeneity in systematic reviews of diagnostic accuracy studies. Study Design and Setting: A cohort of systematic reviews of diagnostic tests was systematically identified. Data were extracted on whether an exploration of the sources of heterogeneity was undertaken, how this was done, the number and type of potential sources explored, and how results and conclusions were reported. Results: Of the 65 systematic reviews, 12 did not perform a meta-analysis and eight of these gave heterogeneity between studies as a reason. Of the 53 reviews containing a meta-analysis, 40 explored potential sources of heterogeneity in a formal manner and 27 identified at least one source of heterogeneity. The reviews not investigating heterogeneity were smaller than those that did (median {[}interquartile range \{IQR\}], 8 {[}5-15] vs. 14 {[}11-19] primary studies). Twelve reviews performed a sensitivity analysis, 25 stratified analyses, and 19 meta-regression. Many sources of heterogeneity were explored compared with the number of primary studies in a meta-analysis (median ratio, 1:5). Review authors placed importance on the exploration of sources of heterogeneity; 37 mentioned the exploration or the findings thereof in the abstract or conclusion of the main text.results Conclusion: Methods for investigating sources of heterogeneity varied widely between reviews. Based on our findings of the review, we made suggestions on what to consider and report on when exploring sources of heterogeneity in systematic reviews of diagnostic studies. (C) 2014 Elsevier Inc. All rights reserved.",,10.1016/j.jclinepi.2014.05.018,Meta-analysis; Diagnostic techniques and procedures/standards; Sensitivity and specificity; Data ...,NA,,NA,NA,systematic overview finds variation in approaches to investigating and reporting on sources of heterogeneity in systematic reviews of diagnostic studies
rayyan-322868450,Comprehensive review of principle factors for thermal conductivity and dynamic viscosity enhancement in thermal transport applications: An analytical tool approach,2018,11,,INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER,0735-1933,98,NA,13-21,"Ramachandran, K. and Kadirgama, K. and Awad, Omar I. and Ramasamy, D. and Samykano, M. and Azmi, W. H.",,English,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","In past decades, nanofluid science has been widely investigated for thermal related activities. In thermal transport applications, thermal conductivity and dynamic viscosity are closely related to cooling system performance enhancement. The genuine anomaly behind thermal conductivity and dynamic viscosity enhancement in nanofluid is still undiscoverable. In this paper, comprehensive study on principle factor behind thermophysical property enhancement focusing on thermal conductivity and dynamic viscosity is conducted. Thus, a detailed review of existing experimental results for thermal conductivity and dynamic viscosity enhancement are compiled and discussed in this manuscript. Analytical tool approach such as fishbone diagram and summary tables are used to highlight principle factor for thermal conductivity and dynamic viscosity enhancement. The principal factor which influences the thermal conductivity is shape of the particle, nanofluid preparation, interfacial layer, Brownian motion, particle clustering and aggregation. Meanwhile, the principal factor influencing dynamic viscosity is the physical behavior of the particle, nanofluid preparation, particle clustering and aggregation. The optimum nanofluid should have high thermal conductivity and minimum viscosity. High thermal conductivity is mandatory for maximum heat absorption in thermal transport applications. Meanwhile, minimum viscosity ensures less pressure drop which reduces the power consumption and increases the overall efficiency of the system.",,10.1016/j.icheatmasstransfer.2018.08.010,Thermal conductivity; Dynamic viscosity; Nanofluid; Brownian motion interfacial layer,NA,,NA,NA,comprehensive review of principle factors for thermal conductivity and dynamic viscosity enhancement in thermal transport applications an analytical tool approach
