key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,PDF.files,X..,title2
rayyan-322863657,Correction: Deep learning-based metastasis detection in patients with lung cancer to enhance reproducibility and reduce workload in brain metastasis screening with MRI: a multi-center study.,2024,3,21,Cancer imaging : the official publication of the International Cancer Imaging           Society,1470-7330 (Electronic),24,1,41,Park YW and Park JE and Ahn SS and Han K and Kim N and Oh JY and Lee DH and Won SY and Shin I and Kim HS and Lee SK,https://pubmed.ncbi.nlm.nih.gov/38515206/,eng,,England,,,10.1186/s40644-024-00688-6,,38515206,PMC10958869,NA,NA,correction deep learningbased metastasis detection in patients with lung cancer to enhance reproducibility and reduce workload in brain metastasis screening with mri a multicenter study
rayyan-322863658,Annotation and Information Extraction of Consumer-Friendly Health Articles for Enhancing Laboratory Test Reporting.,2023,NA,,AMIA ... Annual Symposium proceedings. AMIA Symposium,1942-597X (Electronic),2023,NA,407-416,He Z and Tian S and Erdengasileng A and Hanna K and Gong Y and Zhang Z and Luo X and Lustria MLA,https://pubmed.ncbi.nlm.nih.gov/38222337/,eng,,United States,"Viewing laboratory test results is patients' most frequent activity when accessing patient portals, but lab results can be very confusing for patients. Previous research has explored various ways to present lab results, but few have attempted to provide tailored information support based on individual patient's medical context. In this study, we collected and annotated interpretations of textual lab result in 251 health articles about laboratory tests from AHealthyMe.com. Then we evaluated transformer-based language models including BioBERT, ClinicalBERT, RoBERTa, and PubMedBERT for recognizing key terms and their types. Using BioPortal's term search API, we mapped the annotated terms to concepts in major controlled terminologies. Results showed that PubMedBERT achieved the best F1 on both strict and lenient matching criteria. SNOMED CT had the best coverage of the terms, followed by LOINC and ICD-10-CM. This work lays the foundation for enhancing the presentation of lab results in patient portals by providing patients with contextualized interpretations of their lab results and individualized question prompts that they can, in turn, refer to during physician consults.",,,"Humans;*Vocabulary, Controlled;*Systematized Nomenclature of Medicine;Logical Observation Identifiers Names and Codes;Language;Information Storage and Retrieval",38222337,PMC10785897,NA,NA,annotation and information extraction of consumerfriendly health articles for enhancing laboratory test reporting
rayyan-322863659,Patient-Reported Testing Burden of Screening Contrast-Enhanced Mammography.,2024,5,,Journal of the American College of Radiology : JACR,1558-349X (Electronic),21,5,789-794,Patel BK and Gurudu R and Mazza G and Sharpe RE Jr and Mina L and Fraker J and Kling JM and Anderson K and Hughes D and Pockaj B,https://pubmed.ncbi.nlm.nih.gov/37956885/,eng,,United States,,,10.1016/j.jacr.2023.11.009,Humans;*Mammography;Female;*Breast Neoplasms/diagnostic imaging;*Contrast Media;Middle Aged;Early Detection of Cancer;Radiographic Image Enhancement;Mass Screening;Aged;Patient Reported Outcome Measures;United States,37956885,,NA,NA,patientreported testing burden of screening contrastenhanced mammography
rayyan-322863660,Topographic anatomy and intraoperative USG-guided foreign bodies extraction of neglected Molotov cocktail victim: A rare case report.,2023,12,,International journal of surgery case reports,2210-2612 (Print),113,NA,109009,Junaidi MA and Putra FD and Prasetyo M and Winartomo A and Sari CM,https://pubmed.ncbi.nlm.nih.gov/37952493/,eng,,Netherlands,"INTRODUCTION AND SIGNIFICANCE: Foreign body implantation resulting from explosive devices is an extraordinary occurrence that often leads to substantial morbidity among the affected individuals. Explosions caused by such devices generate a rapidly propagating blast wave emanating from the point of detonation. This study aims to present a case involving a patient who experienced multiple foreign body implantations as a consequence of a bomb explosion. CASE PRESENTATION: A 41-year-old male presented with a history of multiple foreign bodies retained within his body for the past 22 years, originating from a homemade explosive device. At present, he reports weakness in his lower extremities, numbness extending from the umbilical region down to the lower extremities, and fecal incontinence. The patient underwent a surgical procedure for the removal of these foreign bodies, guided by ultrasonography (USG), which lasted for a duration of 12 h. CLINICAL DISCUSSION: The presence of foreign bodies within the human body incites an inflammatory response. In preparation for surgery, topographic anatomy is delineated through the use of pre-operative CT scans to ascertain the precise locations of these foreign bodies. Subsequently, the removal of these foreign bodies is executed under the guidance of ultrasound. CONCLUSION: The extraction of multiple foreign bodies from a patient's body is an infrequent surgical procedure. Meticulous surgical planning, aided by the utilization of X-rays and CT scans for topographic anatomical mapping, is imperative. Employing real-time ultrasound guidance during the procedure serves to minimize blood loss and mitigate potential damage to adjacent structures, thereby enhancing patient safety and reducing the likelihood of surgical complications.",,10.1016/j.ijscr.2023.109009,,37952493,PMC10681931,NA,NA,topographic anatomy and intraoperative usgguided foreign bodies extraction of neglected molotov cocktail victim a rare case report
rayyan-322863661,Extraction and Digitization of ECG Signals from Standard Clinical Portable Document Format Files for the Principal Component Analysis of T-wave Morphology.,2023,10,,Cardiovascular engineering and technology,1869-4098 (Electronic),14,5,631-639,Schäfer M and Mitchell MB and Brateng C and Ivy DD and Hunter KS and Nash DB and von Alvensleben JC,https://pubmed.ncbi.nlm.nih.gov/37491551/,eng,,United States,"INTRODUCTION: T-wave analysis from standard electrocardiogram (ECG) remains one of the most available clinical and research methods for evaluating myocardial repolarization. T-wave morphology was recently evaluated to aid with diagnosis and characterization of diastolic dysfunction. Unfortunately, PDF stored ECG datasets limit additional numerical post-processing of ECG waveforms. In this study, we apply a simple custom process pipeline to extract and re-digitize T-wave signals and subject them to principal component analysis (PCA) to define primary T-wave shape variations. METHODS: We propose simple pre-processing and digitization algorithms programmable as a MATLAB tool using standard thresholding functions without the need for advanced signal analysis. To validate digitized datasets, we compared clinically standard measurements in 20 different ECGs with the original ECG machine interpreted values as a gold standard. Afterwards, we analyzed 212 individual ECGs for T-wave shape analysis using PCA. RESULTS: The re-digitized signal was shown to preserve the original information as evidenced by excellent agreement between original - machine interpreted and re-digitized clinical variables including heart rate: bias ~ 1 bpm (95% CI: -1.0 to 3.5), QT interval: bias ~ 0.000 ms (95% CI: -0.012 to 0.012), PR interval: bias = -0.015 ms (95% CI: -0.015 to 0.003), and QRS duration: bias = -0.001 ms (95% CI: -0.007 to 0.006). PCA revealed that the first principal component universally modulates the T-wave height or amount of repolarization voltage regardless of the investigated ECG lead. The second and third principal components described variation in the T-wave peak onset and the T-wave peak morphology, respectively. CONCLUSION: This study presents a straightforward method for re-digitizing ECGs stored in the PDF format utilized in many academic electronic medical record systems. This process can yield re-digitized lead specific signals which can be retrospectively analyzed using advanced custom post-processing numerical analysis independent of commercially available platforms.",,10.1007/s13239-023-00673-3,"Humans;Retrospective Studies;Principal Component Analysis;*Electrocardiography/methods;*Arrhythmias, Cardiac;Software;Signal Processing, Computer-Assisted",37491551,,NA,NA,extraction and digitization of ecg signals from standard clinical portable document format files for the principal component analysis of twave morphology
rayyan-322863662,Auto-STEED: A data mining tool for automated extraction of experimental parameters and risk of bias items from in vivo publications.,2023,2,27,bioRxiv : the preprint server for biology,2692-8205 (Electronic),NA,NA,,Zurrer WE and Cannon AE and Ewing E and Rosso M and Reich DS and Ineichen BV,https://pubmed.ncbi.nlm.nih.gov/37205453/,eng,,United States,"BACKGROUND: Systematic reviews, i.e., research summaries that address focused questions in a structured and reproducible manner, are a cornerstone of evidence-based medicine and research. However, certain systematic review steps such as data extraction are labour-intensive which hampers their applicability, not least with the rapidly expanding body of biomedical literature. OBJECTIVE: To bridge this gap, we aimed at developing a data mining tool in the R programming environment to automate data extraction from neuroscience in vivo publications. The function was trained on a literature corpus (n=45 publications) of animal motor neuron disease studies and tested in two validation corpora (motor neuron diseases, n=31 publications; multiple sclerosis, n=244 publications). RESULTS: Our data mining tool Auto-STEED (Automated and STructured Extraction of Experimental Data) was able to extract key experimental parameters such as animal models and species as well as risk of bias items such as randomization or blinding from in vivo studies. Sensitivity and specificity were over 85 and 80%, respectively, for most items in both validation corpora. Accuracy and F-scores were above 90% and 0.9 for most items in the validation corpora. Time savings were above 99%. CONCLUSIONS: Our developed text mining tool Auto-STEED is able to extract key experimental parameters and risk of bias items from the neuroscience in vivo literature. With this, the tool can be deployed to probe a field in a research improvement context or to replace one human reader during data extraction resulting in substantial time-savings and contribute towards automation of systematic reviews. The function is available on Github.",,10.1101/2023.02.24.529867,,37205453,PMC10187249,NA,NA,autosteed a data mining tool for automated extraction of experimental parameters and risk of bias items from in vivo publications
rayyan-322863663,"AACC Guidance Document on Cervical Cancer Detection: Screening, Surveillance, and Diagnosis.",2023,3,6,The journal of applied laboratory medicine,2576-9456 (Print),8,2,382-406,Zhu Y and Feldman S and Leung SOA and Creer MH and Warrick J and Williams N and Mastorides S,https://pubmed.ncbi.nlm.nih.gov/36881764/,eng,,England,"BACKGROUND: Persistent genital infection with high-risk human papilloma virus (hrHPV) causes the vast majority of cases of cervical cancer. Early screening, ongoing surveillance, and accurate diagnosis are crucial for the elimination of cervical cancer. New screening guidelines for testing in asymptomatic healthy populations and management guidelines for managing abnormal results have been published by professional organizations. CONTENT: This guidance document addresses key questions related to cervical cancer screening and management including currently available cervical cancer screening tests and the testing strategies for cervical cancer screening. This guidance document introduces the most recently updated screening guidelines regarding age to start screening, age to stop screening, and frequencies of routine screening as well as risk-based management guidelines for screening and surveillance. This guidance document also summarizes the methodologies for the diagnosis of cervical cancer. Additionally, we propose a report template for human papilloma virus (HPV) and cervical cancer detection to facilitate interpretation of results and clinical decision-making. SUMMARY: Currently available cervical cancer screening tests include hrHPV testing and cervical cytology screening. The screening strategies can be primary HPV screening, co-testing with HPV testing and cervical cytology, and cervical cytology alone. The new American Society for Colposcopy and Cervical Pathology guidelines recommend variable frequencies of screening and surveillance based on risk. To implement these guidelines, an ideal laboratory report should include the indication for the test (screening, surveillance, or diagnostic workup of symptomatic patients); type of test (primary HPV screening, co-testing, or cytology alone); clinical history of the patient; and prior as well as current testing results.",,10.1093/jalm/jfac142,Humans;Female;Early Detection of Cancer;*Uterine Cervical Neoplasms/diagnosis;*Papillomavirus Infections/diagnosis;Human Papillomavirus Viruses;Clinical Decision-Making,36881764,,NA,NA,aacc guidance document on cervical cancer detection screening surveillance and diagnosis
rayyan-322863664,Precise extraction of impacted supernumerary tooth in the maxillary anterior region with a digital guide plate: A case report.,2022,5,20,Medicine,1536-5964 (Electronic),101,20,e29275,Zhu F and Hou D and Zhou C and Chen Z and Cao Y and Ji L and Zou J and Xu Y,https://pubmed.ncbi.nlm.nih.gov/35608429/,eng,,United States,"RATIONALE: Removal of impacted supernumerary teeth requires precision and accuracy to prevent iatrogenic injury to important anatomical structures during dental surgery and to improve postoperative healing. PATIENT CONCERNS: A 12-year-old girl visited our department for the assessment and management of her deviated front teeth. DIAGNOSIS: Impacted supernumerary tooth extraction in the maxillary anterior region. INTERVENTIONS: The digital guide plate was fabricated after the integration of cone beam computed tomography data with that obtained from scanning the patient's dental model. Impacted supernumerary tooth extraction was performed. OUTCOMES: The use of the digital guide plate and planting instruments made the removal of the impacted supernumerary tooth less invasive, faster, and more accurate, whereas the wound was smaller, and the patient experience more comfortable. LESSONS: Combining the digital guide plate with planting instruments offers a useful aid for the removal of impacted supernumerary teeth among the maxillary anterior region and is, thus, worth promoting.",,10.1097/MD.0000000000029275,"Bone Plates;Child;Cone-Beam Computed Tomography;Female;Humans;Tooth Extraction;*Tooth, Impacted/diagnostic imaging/surgery;*Tooth, Supernumerary/diagnostic imaging/surgery",35608429,PMC9276383,NA,NA,precise extraction of impacted supernumerary tooth in the maxillary anterior region with a digital guide plate a case report
rayyan-322863665,"Allergen Immunotherapy Extract Shortages and Their Effects on Clinical Care: A Work Group Report of the AAAAI Immunotherapy, Allergen Standardization, and Allergy Diagnostics Committee.",2022,2,,The journal of allergy and clinical immunology. In practice,2213-2201 (Electronic),10,2,444-452,Ezhuthachan ID and Banks TA and Cerise JE and Wong SC and Ponda P,https://pubmed.ncbi.nlm.nih.gov/34840110/,eng,,United States,"Allergen immunotherapy (AIT) is the only disease-modifying therapy indicated for treatment of allergic asthma, rhinitis, conjunctivitis, and Hymenoptera hypersensitivity. Manufacturing of the extracts used in AIT involve multistep complex processes as well as regulatory oversight. Furthermore, some source materials are vulnerable to unexpected events of nature. Given these circumstances, allergen extract supply can be disrupted with a potential to adversely impact patient care. A group of members from the American Academy of Allergy, Asthma, and Immunology (AAAAI) Immunotherapy, Allergy Standardization and Allergy Diagnostic Committee formed a workgroup to assess the frequency and effects of allergen extract shortages and associated factors. This workgroup developed a survey that was distributed to a random 20% of the AAAAI membership. In addition, the group also performed a review of the scientific literature on allergen extract supply and shortage. Based on the findings of the survey study and literature review, the workgroup reports frequency and extent of shortages, potential ways to improve communication with suppliers, and need for further guidance in patient care during times of shortage.",,10.1016/j.jaip.2021.10.057,"*Allergens;Desensitization, Immunologic;Humans;*Hypersensitivity/diagnosis/therapy;Plant Extracts;Reference Standards",34840110,,NA,NA,allergen immunotherapy extract shortages and their effects on clinical care a work group report of the aaaai immunotherapy allergen standardization and allergy diagnostics committee
rayyan-322863666,Accuracy of a 7-Item Patient-Reported Stand-Alone Tool for Periodontitis Screening.,2021,1,14,Journal of clinical medicine,2077-0383 (Print),10,2,,Sekundo C and Bölk T and Kalmus O and Listl S,https://pubmed.ncbi.nlm.nih.gov/33466797/,eng,,Switzerland,"Periodontitis is interrelated with various other chronic diseases. Recent evidence suggests that treatment of periodontitis improves glycemic control in diabetes patients and reduces the costs of diabetes treatment. So far, however, screening for periodontitis in non-dental settings has been complicated by a lack of easily applicable and reliable screening tools which can be applied by non-dental professionals. The purpose of this study was to assess the diagnostic accuracy of a short seven-item tool developed by the German Society for Periodontology (DG PARO) to screen for periodontitis by means of patient-reported information. A total of 88 adult patients filled in the patient-reported Periodontitis Risk Score (pPRS; range: 0 points = lowest periodontitis risk; 20 points = very high periodontitis risk) questionnaire before dental check-up at Heidelberg University Hospital. Subsequent clinical assessments according to Periodontal Screening and Recording (PSR(®)) were compared with pPRS scores. The diagnostic accuracy of pPRS at different cutoff values was assessed according to sensitivity, specificity, positive, and negative predictive values, as well as Receiver-Operator-Characteristic curves, Area Under the Curve (AUC), and logistic regression analysis. According to combined specificity and sensitivity (AUC = 0.86; 95%-CI: 0.76-0.95), the diagnostic accuracy of the pPRS for detecting periodontal inflammation (PSR(®) ≥ 3) was highest for a pPRS cutoff distinguishing between pPRS scores < 7 vs. ≥ 7. Patients with pPRS scores ≥ 7 had a 36.09 (95%-CI: 9.82-132.61) times higher chance of having a PSR(®) ≥ 3 than patients with scores < 7. In conclusion, the pPRS may be considered an appropriately accurate stand-alone tool for the screening for periodontitis.",,10.3390/jcm10020287,,33466797,PMC7830157,NA,NA,accuracy of a 7item patientreported standalone tool for periodontitis screening
