key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,PDF.files,X..,title2
rayyan-322862315,Consolidated criteria for reporting qualitative research (COREQ): a 32-item checklist for interviews and focus groups.,2007,12,,International journal for quality in health care : journal of the International           Society for Quality in Health Care,1353-4505 (Print),19,6,349-57,Tong A and Sainsbury P and Craig J,https://pubmed.ncbi.nlm.nih.gov/17872937/,eng,,England,"BACKGROUND: Qualitative research explores complex phenomena encountered by clinicians, health care providers, policy makers and consumers. Although partial checklists are available, no consolidated reporting framework exists for any type of qualitative design. OBJECTIVE: To develop a checklist for explicit and comprehensive reporting of qualitative studies (in depth interviews and focus groups). METHODS: We performed a comprehensive search in Cochrane and Campbell Protocols, Medline, CINAHL, systematic reviews of qualitative studies, author or reviewer guidelines of major medical journals and reference lists of relevant publications for existing checklists used to assess qualitative studies. Seventy-six items from 22 checklists were compiled into a comprehensive list. All items were grouped into three domains: (i) research team and reflexivity, (ii) study design and (iii) data analysis and reporting. Duplicate items and those that were ambiguous, too broadly defined and impractical to assess were removed. RESULTS: Items most frequently included in the checklists related to sampling method, setting for data collection, method of data collection, respondent validation of findings, method of recording data, description of the derivation of themes and inclusion of supporting quotations. We grouped all items into three domains: (i) research team and reflexivity, (ii) study design and (iii) data analysis and reporting. CONCLUSIONS: The criteria included in COREQ, a 32-item checklist, can help researchers to report important aspects of the research team, study methods, context of the study, findings, analysis and interpretations.",,10.1093/intqhc/mzm042,"Data Collection;Data Interpretation, Statistical;Focus Groups/*methods;Guidelines as Topic;Health Services Research/standards/statistics & numerical data;Humans;Interviews as Topic/*methods;*Qualitative Research",17872937,,NA,NA,consolidated criteria for reporting qualitative research coreq a 32item checklist for interviews and focus groups
rayyan-322862316,"A 24-step guide on how to design, conduct, and successfully publish a systematic review and meta-analysis in medical research.",2020,1,,European journal of epidemiology,1573-7284 (Electronic),35,1,49-60,Muka T and Glisic M and Milic J and Verhoog S and Bohlius J and Bramer W and Chowdhury R and Franco OH,https://pubmed.ncbi.nlm.nih.gov/31720912/,eng,,Netherlands,"To inform evidence-based practice in health care, guidelines and policies require accurate identification, collation, and integration of all available evidence in a comprehensive, meaningful, and time-efficient manner. Approaches to evidence synthesis such as carefully conducted systematic reviews and meta-analyses are essential tools to summarize specific topics. Unfortunately, not all systematic reviews are truly systematic, and their quality can vary substantially. Since well-conducted evidence synthesis typically involves a complex set of steps, we believe formulating a cohesive, step-by-step guide on how to conduct a systemic review and meta-analysis is essential. While most of the guidelines on systematic reviews focus on how to report or appraise systematic reviews, they lack guidance on how to synthesize evidence efficiently. To facilitate the design and development of evidence syntheses, we provide a clear and concise, 24-step guide on how to perform a systematic review and meta-analysis of observational studies and clinical trials. We describe each step, illustrate it with concrete examples, and provide relevant references for further guidance. The 24-step guide (1) simplifies the methodology of conducting a systematic review, (2) provides healthcare professionals and researchers with methodologically sound tools for conducting systematic reviews and meta-analyses, and (3) it can enhance the quality of existing evidence synthesis efforts. This guide will help its readers to better understand the complexity of the process, appraise the quality of published systematic reviews, and better comprehend (and use) evidence from medical literature.",,10.1007/s10654-019-00576-5,Humans;Guidelines as Topic;*Meta-Analysis as Topic;*Systematic Reviews as Topic,31720912,,NA,NA,a 24step guide on how to design conduct and successfully publish a systematic review and metaanalysis in medical research
rayyan-322862317,Preferred reporting items for systematic review and meta-analysis protocols (PRISMA-P) 2015 statement.,2015,1,1,Systematic reviews,2046-4053 (Electronic),4,1,1,Moher D and Shamseer L and Clarke M and Ghersi D and Liberati A and Petticrew M and Shekelle P and Stewart LA,https://pubmed.ncbi.nlm.nih.gov/25554246/,eng,,England,"Systematic reviews should build on a protocol that describes the rationale, hypothesis, and planned methods of the review; few reviews report whether a protocol exists. Detailed, well-described protocols can facilitate the understanding and appraisal of the review methods, as well as the detection of modifications to methods and selective reporting in completed reviews. We describe the development of a reporting guideline, the Preferred Reporting Items for Systematic reviews and Meta-Analyses for Protocols 2015 (PRISMA-P 2015). PRISMA-P consists of a 17-item checklist intended to facilitate the preparation and reporting of a robust protocol for the systematic review. Funders and those commissioning reviews might consider mandating the use of the checklist to facilitate the submission of relevant protocol information in funding applications. Similarly, peer reviewers and editors can use the guidance to gauge the completeness and transparency of a systematic review protocol submitted for publication in a journal or other medium.",,10.1186/2046-4053-4-1,Access to Information;Checklist;Evidence-Based Medicine;*Guideline Adherence;Humans;*Meta-Analysis as Topic;Publishing/organization & administration/*standards;Quality Control;*Systematic Reviews as Topic,25554246,PMC4320440,NA,NA,preferred reporting items for systematic review and metaanalysis protocols prismap 2015 statement
rayyan-322862318,Best practice guidance and reporting items for the development of scoping review protocols.,2022,4,1,JBI evidence synthesis,2689-8381 (Electronic),20,4,953-968,Peters MDJ and Godfrey C and McInerney P and Khalil H and Larsen P and Marnie C and Pollock D and Tricco AC and Munn Z,https://pubmed.ncbi.nlm.nih.gov/35102103/,eng,,United States,"OBJECTIVE: The purpose of this article is to clearly describe how to develop a robust and detailed scoping review protocol, which is the first stage of the scoping review process. This paper provides detailed guidance and a checklist for prospective authors to ensure that their protocols adequately inform both the conduct of the ensuing review and their readership. INTRODUCTION: Scoping reviews are a common approach to evidence synthesis for researchers, clinicians, and policymakers across a variety of fields. Scoping reviews are not concerned with making analytical comparisons based on pooling results data from multiple primary sources of evidence, but rather on collating and describing the evidence and presenting the summation in a clearly illustrated format. Methods for undertaking and reporting scoping reviews continue to be refined. Some prospective reviewers may be uncertain how to plan, structure, and report scoping review protocols, as there is little or no specific guidance for scoping review protocols yet available. METHODS: This guidance was developed by members of the JBI Scoping Review Methodology Group based on previous experience and expertise in developing scoping review and evidence synthesis methodologies, protocols, and reviews, as well as through experiences working with and guiding authors to develop scoping review protocols. Elements of a comprehensive scoping review protocol are outlined and explained in detail. CONCLUSION: Knowledge users of evidence syntheses rely on clear and transparent reporting to understand and use the results of published work to drive evidence-based improvements within health care and beyond. It is hoped that readers will be able to use this guidance when developing protocols to assist them in planning future scoping reviews and to carry them out with a high degree of transparency.",,10.11124/JBIES-21-00242,Humans;Knowledge;Prospective Studies;*Publications;*Research Personnel;Scoping Reviews As Topic,35102103,,NA,NA,best practice guidance and reporting items for the development of scoping review protocols
rayyan-322862319,Easy guide to conducting a systematic review.,2020,6,,Journal of paediatrics and child health,1440-1754 (Electronic),56,6,853-856,Caldwell PH and Bennett T,https://pubmed.ncbi.nlm.nih.gov/32364273/,eng,,Australia,"A systematic review is a type of study that synthesises research that has been conducted on a particular topic. Systematic reviews are considered to provide the highest level of evidence on the hierarchy of evidence pyramid. Systematic reviews are conducted following rigorous research methodology. To minimise bias, systematic reviews utilise a predefined search strategy to identify and appraise all available published literature on a specific topic. The meticulous nature of the systematic review research methodology differentiates a systematic review from a narrative review (literature review or authoritative review). This paper provides a brief step by step summary of how to conduct a systematic review, which may be of interest for clinicians and researchers.",,10.1111/jpc.14853,Humans;*Research Design,32364273,,NA,NA,easy guide to conducting a systematic review
rayyan-322862320,Critical Appraisal Tools and Reporting Guidelines for Evidence-Based Practice.,2017,12,,Worldviews on evidence-based nursing,1741-6787 (Electronic),14,6,463-472,Buccheri RK and Sharifi C,https://pubmed.ncbi.nlm.nih.gov/28898556/,eng,,United States,"BACKGROUND: Nurses engaged in evidence-based practice (EBP) have two important sets of tools: Critical appraisal tools and reporting guidelines. Critical appraisal tools facilitate the appraisal process and guide a consumer of evidence through an objective, analytical, evaluation process. Reporting guidelines, checklists of items that should be included in a publication or report, ensure that the project or guidelines are reported on with clarity, completeness, and transparency. PURPOSE: The primary purpose of this paper is to help nurses understand the difference between critical appraisal tools and reporting guidelines. A secondary purpose is to help nurses locate the appropriate tool for the appraisal or reporting of evidence. METHODS: A systematic search was conducted to find commonly used critical appraisal tools and reporting guidelines for EBP in nursing. RATIONALE: This article serves as a resource to help nurse navigate the often-overwhelming terrain of critical appraisal tools and reporting guidelines, and will help both novice and experienced consumers of evidence more easily select the appropriate tool(s) to use for critical appraisal and reporting of evidence. Having the skills to select the appropriate tool or guideline is an essential part of meeting EBP competencies for both practicing registered nurses and advanced practice nurses (Melnyk & Gallagher-Ford, 2015; Melnyk, Gallagher-Ford, & Fineout-Overholt, 2017). RESULTS: Nine commonly used critical appraisal tools and eight reporting guidelines were found and are described in this manuscript. Specific steps for selecting an appropriate tool as well as examples of each tool's use in a publication are provided. LINKING EVIDENCE TO ACTION: Practicing registered nurses and advance practice nurses must be able to critically appraise and disseminate evidence in order to meet EBP competencies. This article is a resource for understanding the difference between critical appraisal tools and reporting guidelines, and identifying and accessing appropriate tools or guidelines.",,10.1111/wvn.12258,Data Collection/methods;Evidence-Based Practice/methods/*standards;Humans;Nurses/*trends;Practice Guidelines as Topic/*standards;Quality of Health Care/standards;Risk Management/methods/*standards,28898556,,NA,NA,critical appraisal tools and reporting guidelines for evidencebased practice
rayyan-322862321,"Summarizing systematic reviews: methodological development, conduct and reporting of an umbrella review approach.",2015,9,,International journal of evidence-based healthcare,1744-1609 (Electronic),13,3,132-40,Aromataris E and Fernandez R and Godfrey CM and Holly C and Khalil H and Tungpunkom P,https://pubmed.ncbi.nlm.nih.gov/26360830/,eng,,Australia,"AIMS: With the increase in the number of systematic reviews available, a logical next step to provide decision makers in healthcare with the evidence they require has been the conduct of reviews of existing systematic reviews. Syntheses of existing systematic reviews are referred to by many different names, one of which is an umbrella review. An umbrella review allows the findings of reviews relevant to a review question to be compared and contrasted. An umbrella review's most characteristic feature is that this type of evidence synthesis only considers for inclusion the highest level of evidence, namely other systematic reviews and meta-analyses. A methodology working group was formed by the Joanna Briggs Institute to develop methodological guidance for the conduct of an umbrella review, including diverse types of evidence, both quantitative and qualitative. The aim of this study is to describe the development and guidance for the conduct of an umbrella review. METHODS: Discussion and testing of the elements of methods for the conduct of an umbrella review were held over a 6-month period by members of a methodology working group. The working group comprised six participants who corresponded via teleconference, e-mail and face-to-face meeting during this development period. In October 2013, the methodology was presented in a workshop at the Joanna Briggs Institute Convention. Workshop participants, review authors and methodologists provided further testing, critique and feedback on the proposed methodology. RESULTS: This study describes the methodology and methods developed for the conduct of an umbrella review that includes published systematic reviews and meta-analyses as the analytical unit of the review. Details are provided regarding the essential elements of an umbrella review, including presentation of the review question in a Population, Intervention, Comparator, Outcome format, nuances of the inclusion criteria and search strategy. A critical appraisal tool with 10 questions to help assess risk of bias in systematic reviews and meta-analyses was also developed and tested. Relevant details to extract from included reviews and how to best present the findings of both quantitative and qualitative systematic reviews in a reader friendly format are provided. CONCLUSIONS: Umbrella reviews provide a ready means for decision makers in healthcare to gain a clear understanding of a broad topic area. The umbrella review methodology described here is the first to consider reviews that report other than quantitative evidence derived from randomized controlled trials. The methodology includes an easy to use and informative summary of evidence table to readily provide decision makers with the available, highest level of evidence relevant to the question posed.",,10.1097/XEB.0000000000000055,Bias;Empirical Research;Evidence-Based Medicine/*organization & administration/standards;Guidelines as Topic;Humans;*Meta-Analysis as Topic;Research Design/*standards;*Review Literature as Topic;*Systematic Reviews as Topic,26360830,,NA,NA,summarizing systematic reviews methodological development conduct and reporting of an umbrella review approach
rayyan-322862322,Preferred reporting items for systematic review and meta-analysis protocols (PRISMA-P) 2015: elaboration and explanation.,2015,1,2,BMJ (Clinical research ed.),1756-1833 (Electronic),350,NA,g7647,Shamseer L and Moher D and Clarke M and Ghersi D and Liberati A and Petticrew M and Shekelle P and Stewart LA,https://pubmed.ncbi.nlm.nih.gov/25555855/,eng,,England,"Protocols of systematic reviews and meta-analyses allow for planning and documentation of review methods, act as a guard against arbitrary decision making during review conduct, enable readers to assess for the presence of selective reporting against completed reviews, and, when made publicly available, reduce duplication of efforts and potentially prompt collaboration. Evidence documenting the existence of selective reporting and excessive duplication of reviews on the same or similar topics is accumulating and many calls have been made in support of the documentation and public availability of review protocols. Several efforts have emerged in recent years to rectify these problems, including development of an international register for prospective reviews (PROSPERO) and launch of the first open access journal dedicated to the exclusive publication of systematic review products, including protocols (BioMed Central's Systematic Reviews). Furthering these efforts and building on the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-analyses) guidelines, an international group of experts has created a guideline to improve the transparency, accuracy, completeness, and frequency of documented systematic review and meta-analysis protocols--PRISMA-P (for protocols) 2015. The PRISMA-P checklist contains 17 items considered to be essential and minimum components of a systematic review or meta-analysis protocol.This PRISMA-P 2015 Explanation and Elaboration paper provides readers with a full understanding of and evidence about the necessity of each item as well as a model example from an existing published protocol. This paper should be read together with the PRISMA-P 2015 statement. Systematic review authors and assessors are strongly encouraged to make use of PRISMA-P when drafting and appraising review protocols.",,10.1136/bmj.g7647,Access to Information;Guideline Adherence;*Meta-Analysis as Topic;Publishing/organization & administration/standards;Quality Control;Research Design/*standards;Research Report/*standards;*Systematic Reviews as Topic,25555855,,NA,NA,preferred reporting items for systematic review and metaanalysis protocols prismap 2015 elaboration and explanation
rayyan-322862323,How to Conduct a Systematic Review and Meta-Analysis: A Guide for Clinicians.,2023,9,,Respiratory care,1943-3654 (Electronic),68,9,1295-1308,Zaccagnini M and Li J,https://pubmed.ncbi.nlm.nih.gov/37072163/,eng,,United States,"Evidence-based practice relies on using research evidence to guide clinical decision-making. However, staying current with all published research can be challenging. Many clinicians use review articles that apply predefined methods to locate, identify, and summarize all available evidence on a topic to guide clinical decision-making. This paper discusses the role of review articles, including narrative, scoping, and systematic reviews, to synthesize existing evidence and generate new knowledge. It provides a step-by-step guide to conducting a systematic review and meta-analysis, covering key steps such as formulating a research question, selecting studies, evaluating evidence quality, and reporting results. This paper is intended as a resource for clinicians looking to learn how to conduct systematic reviews and advance evidence-based practice in the field.",,10.4187/respcare.10971,Humans;*Evidence-Based Medicine;*Systematic Reviews as Topic;*Meta-Analysis as Topic,37072163,PMC10468159,NA,NA,how to conduct a systematic review and metaanalysis a guide for clinicians
rayyan-322862324,Guidelines for the development and validation of patient-reported outcome measures: a scoping review.,2024,11,22,BMJ evidence-based medicine,2515-4478 (Electronic),29,6,363-373,Jung A and Challoumas D and Pagels L and Armijo-Olivo S and Braun T and Luedtke K,https://pubmed.ncbi.nlm.nih.gov/38782559/,eng,,England,"OBJECTIVE: The objectives of this scoping review were to provide an overview of existing guidelines for the development and validation of patient-reported outcome measures (PROMs), review them for comprehensiveness and clarity and provide recommendations for their use based on the goals of the instrument developers. DESIGN: Scoping review. METHODS: A literature search was performed in PubMed, Scopus, PsycInfo and Google Scholar up to 2 June 2023 to identify guidelines for the development and validation of PROMs. Screening of records and reports as well as data extraction were performed by two reviewers. To assess the comprehensiveness of the included guidelines, a mapping synthesis was performed and steps to develop and validate a measurement instrument outlined in the included guidelines were mapped to an a priori framework including 20 steps, which was based on the guideline by de Vet et al. RESULTS: A total of 40 guidelines were included. Statistical advice (at least partially) was provided in 98% of the guidelines (39/40) and 88% (35/40) of the guidelines included examples for steps required to develop and validate PROMs. However, 78% (31/40) of the guidelines were not comprehensive and two essential steps in PROM development ('consideration and elaboration of the measurement model' and 'responsiveness') were not included in 80% and 72% of the guidelines, respectively. Three guidelines included all 20 steps and six included almost all steps (≥90% of steps) for developing and validating a PROM. DISCUSSION: Most guidelines on PROM development and validation do not appear to be comprehensive, and some crucial steps are missing in most guidelines. Nevertheless, for some purposes of PROMs, many guidelines provide helpful advice and support. CONCLUSION: At least 15 guidelines may be recommended, including three comprehensive guidelines that can be recommended for the development and validation of PROMs for most purposes (eg, to discriminate between subjects with a particular condition and subjects without that condition, to evaluate the effects of treatments (between a pre and post time-points) or to evaluate a status quo).",,10.1136/bmjebm-2023-112681,*Patient Reported Outcome Measures;Humans;Reproducibility of Results;Guidelines as Topic;Practice Guidelines as Topic/standards,38782559,,NA,NA,guidelines for the development and validation of patientreported outcome measures a scoping review
