key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,PDF.files,X..,title2
rayyan-322867223,CONDUCTOR-LIKE SCREENING MODEL FOR REAL SOLVENTS - A NEW APPROACH TO THE QUANTITATIVE CALCULATION OF SOLVATION PHENOMENA,1995,2,,JOURNAL OF PHYSICAL CHEMISTRY,0022-3654,99,7,2224-2235,"KLAMT, A",,English,AMER CHEMICAL SOC,"PO BOX 57136, WASHINGTON, DC 20037-0136","Starting from the question of why dielectric continuum models give a fairly good description of molecules in water and some other solvents, a totally new approach for the calculation of solvation phenomena is presented. It is based on the perfect, i.e., conductor-like, screening of the solute molecule and a quantitative calculation of the deviations from ideality appearing in real solvents. Thus, a new point of view to solvation phenomena is presented, which provides an alternative access to many questions of scientific and technical importance. The whole theory is based on the results of molecular orbital continuum solvation models. A few representative solvents are considered, and the use of the theory is demonstrated by the calculation of vapor pressures, surface tensions, and octanol/water partition coefficients.",,10.1021/j100007a062,,NA,,NA,NA,conductorlike screening model for real solvents a new approach to the quantitative calculation of solvation phenomena
rayyan-322867224,"Berlin, 29.08.2019 Statement by the German Society for Gynecology and Obstetrics V. (DGGG) on the IQTIG Preliminary Report (As of August 16, 2019) ``Planning-relevant Quality Indicators. Further Development for the Suitability Test of further Indicators, Establishment of a Reference to Specialist...",2020,2,,GEBURTSHILFE UND FRAUENHEILKUNDE,0016-5751,80,2,146+,"Scharl, Anton J.",,German,GEORG THIEME VERLAG KG,"RUDIGERSTR 14, D-70469 STUTTGART, GERMANY",,,,,NA,,NA,NA,berlin 29082019 statement by the german society for gynecology and obstetrics v dggg on the iqtig preliminary report as of august 16 2019 ``planningrelevant quality indicators further development for the suitability test of further indicators establishment of a reference to specialist
rayyan-322867226,"A Systematic Review of Outcome Measures Use, Analytical Approaches, Reporting Methods, and Publication Volume by Year in Low Back Pain Trials Published between 1980 and 2012: Respice, adspice, et prospice",2016,10,,PLOS ONE,1932-6203,11,10,,"Froud, Robert and Patel, Shilpa and Rajendran, Devan and Bright, Philip and Bjorkli, Tom and Buchbinder, Rachelle and Eldridge, Sandra and Underwood, Martin",,English,PUBLIC LIBRARY SCIENCE,"1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA","Background Increasing patient-reported outcome measures in the 1980s and 1990s led to the development of recommendations at the turn of the millennium for standardising outcome measures in non-specific low back pain (LBP) trials. Whether these recommendations impacted use is unclear. Previous work has examined citation counts, but actual use and change over time, has not been explored. Since 2011, there has been some consensus on the optimal methods for reporting back pain trial outcomes. We explored reporting practice, outcome measure use, and publications over time. Methods We performed a systematic review of LBP trials, searching the European Guidelines for the management of LBP, extending the search to 2012. We abstracted data on publications by year, outcome measure use, analytical approach, and approaches taken to reporting trials outcomes. Data were analysed using descriptive statistics and regression analyses. Results We included 401 trials. The number of published trials per year has increased by a factor of 4.5 from 5.4 (1980-1999) to 24.4 (2000-2012). The most commonly used outcome measures have been the Visual Analogue Scale for pain intensity, which has slowly increased in use since 1980/81 from 20\% to 60\% of trials by 2012, and the Roland-Morris DisabilityQuestionnaire, which rose to 55\% in 2002/2003, and then fell back to 28\% by 2012. Most trialists (85\%) report between-group mean differences. Few (8\%) report individual improvements, and some (4\%) report only within-group analyses. Student's t test, ANOVA, and ANCOVA regression, or mixed models, were the most common approaches to analysis. Conclusions Recommendations for standardising outcomes may have had a limited or inconsistent effect on practice. Since the research community is again considering outcome measures and modifying recommendations, groups offering recommendations should be cognisant that better ways of generating trialist buy-in may be required in order for their recommendations to have impact.",,10.1371/journal.pone.0164573,,NA,,NA,NA,a systematic review of outcome measures use analytical approaches reporting methods and publication volume by year in low back pain trials published between 1980 and 2012 respice adspice et prospice
rayyan-322867228,A SYSTEMATIC REVIEW OF CARDIOVASCULAR REHABILITATION GUIDANCE DOCUMENTS: ASSESSING COMPONENTS AND METHODOLOGIES.,2022,5,,ANNALS OF BEHAVIORAL MEDICINE,0883-6612,56,5,527-528,"Vieira, Ariany Marques and Anekwe, David and Ribeiro, Paula B. and Stojanovic, Jovana and Bacon, Simon L.",,English,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",,,,,NA,,NA,NA,a systematic review of cardiovascular rehabilitation guidance documents assessing components and methodologies
rayyan-322867230,Enhanced Electrochemical Conductivity of Surface-Coated Gold Nanoparticles/Copper Nanowires onto Screen-Printed Gold Electrode,2022,5,,COATINGS,,12,5,,"Kusnin, Norzila and Yusof, Nor Azah and Ab Mutalib, Nurul Asyikeen and Mohammad, Faruq and Abdullah, Jaafar and Sabri, Suriana and Mustafa, Shuhaimi and Saman, Ahmad Farabi Mohamad and Faudzi, Fatin Nabilah Mohd and Soleiman, Ahmed A.",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Electrochemical application has been widely used in the study of biosensors. Small biomolecules need a sensitive sensor, as the transducer that can relay the signal produced by biomolecule interactions. Therefore, we are improvising a sensor electrode to enhance electrochemical conductivity for the detection of small DNA molecule interaction. This work describes the enhanced electrochemical conductivity studies of copper nanowires/gold nanoparticles (CuNWs/AuNPs), using the screen-printed gold electrode (SPGE). The AuNPs were synthesized using the Turkevich method as well as characterized by the high-resolution transmission electron microscopy (HRTEM) and ultraviolet-visible (UV-Vis) analysis for the particle size and absorption nature, respectively. Further, the surface morphology and elemental analysis of a series of combinations of different ratios of CuNWs-AuNPs-modified SPGE were analyzed by field emission scanning electron microscopy (FESEM) combined with an energy dispersive X-ray (EDX). The results indicate that the nanocomposites of CuNWs-AuNPs have been randomly distributed and compacted on the surface of SPGE, with AuNPs filling the pores of CuNWs, thereby enhancing its electrochemical conductivity. The cyclic voltammetry (CV) method was used for the evaluation of SPGE performance, while the characterization of the electrochemical conductivity of the electrode modified with various concentrations of AuNPs, CuNWs, and different volumes of dithiopropionic acid (DTPA) has been conducted. Of the various parameters tested, the SPGE modified with a mixture of 5 mg/mL CuNWs and 0.25 mM AuNPs exhibited an efficient electrochemical conductivity of 20.3 mu A. The effective surface area for the CuNWs-AuNPs-modified SPGE was enhanced by 2.3-fold compared with the unmodified SPGE, thereby conforming the presence of a large active biomolecule interaction area and enhanced electrochemical activity on the electrode surface, thus make it promising for biosensor application.",,10.3390/coatings12050622,copper nanowires; gold nanoparticles; screen-printed gold electrode (SPGE); electrochemical condu...,NA,,NA,NA,enhanced electrochemical conductivity of surfacecoated gold nanoparticlescopper nanowires onto screenprinted gold electrode
rayyan-322867231,"Berlin, 02.09.2019 Statement by the German Society for Gynecology and Obstetrics e.V. (DGGG) on the IQTIG Preliminary Report (As of August 16, 2019) ``Planning-relevant Quality Indicators. Further Development for the Suitability Test of further Indicators, Establishment of a Reference to Speciali...",2020,2,,GEBURTSHILFE UND FRAUENHEILKUNDE,0016-5751,80,2,149+,"Scharl, Anton J.",,German,GEORG THIEME VERLAG KG,"RUDIGERSTR 14, D-70469 STUTTGART, GERMANY",,,,,NA,,NA,NA,berlin 02092019 statement by the german society for gynecology and obstetrics ev dggg on the iqtig preliminary report as of august 16 2019 ``planningrelevant quality indicators further development for the suitability test of further indicators establishment of a reference to speciali
rayyan-322867232,Publication Bias and Underpowered Study Designs in Enhanced Expectancies and Self-Controlled Learning Research: A Meta-Analysis,2022,5,,JOURNAL OF SPORT \& EXERCISE PSYCHOLOGY,0895-2779,44,NA,S45,"Mckay, Brad and Bacelar, Mariane F. B. and Parma, Juliana O. and Miller, Matthew W. and Carter, Michael J.",,English,HUMAN KINETICS PUBL INC,"1607 N MARKET ST, PO BOX 5076, CHAMPAIGN, IL 61820-2200 USA",,,,,NA,,NA,NA,publication bias and underpowered study designs in enhanced expectancies and selfcontrolled learning research a metaanalysis
rayyan-322867236,Tenets for the Proper Conduct and Use of Meta-Analyses: A Practical Guide for Neurosurgeons,2022,5,,WORLD NEUROSURGERY,1878-8750,161,NA,291+,"Lee, Keng Siang and Zhang, John J. Y. and Nga, Vincent Diong Weng and Ng, Cheng Han and Tai, Bee Choo and Higgins, Julian P. T. and Syn, Nicholas L.",,English,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","Neurosurgeons today are inundated with rapidly amassing neurosurgical research publications. Systematic reviews and meta-analyses have consequently surged in popularity because, when executed properly, they constitute a high level of evidence and may save busy neurosurgeons many hours of combing and reviewing the literature for relevant articles. Meta-analysis refers to the quantitative (and discretionary) component of systematic reviews. It involves applying statistical techniques to combine effect sizes from multiple studies, which might offer more actionable insights than a systematic review without meta-analysis. Well-executed meta-analyses may prove instructive for clinical practice, but poorly conducted ones sow confusion and have the potential to cause harm. Unfortunately, recent audits have found the conduct and reporting of metaanalyses in neurosurgery (but also other surgical disciplines) to be relatively lackluster in methodologic rigor and compliance to established guidelines. Some of these deficiencies can be easily remedied through better awareness and adherence to prescribed standards-which will be reviewed in this article-but others stem from inherent problems with the source data (e.g., poor reporting of original research) as well as unique constraints faced by surgery as a field (e.g., lack of equipoise for randomized trials, or existence of learning curves for novel surgical procedures, which can lead to temporal heterogeneity), which may require unconventional tools (e.g., cumulative meta-analysis) to address. Therefore, it is also our goal to take stock of the unique issues encountered by surgeons who do meta-analysis and to highlight various techniques-some of which less well-known-to address such challenges.",,10.1016/j.wneu.2021.09.034,Evidence-based medicine; Meta-regression; Neurosurgery; Research methodology; Surgery; Systematic...,NA,,NA,NA,tenets for the proper conduct and use of metaanalyses a practical guide for neurosurgeons
rayyan-322867237,Paper 4: a review of reporting and disseminating approaches for rapid reviews in health policy and systems research,2022,7,,SYSTEMATIC REVIEWS,,11,1,,"Kelly, Shannon E. and McGowan, Jessie and Barnhardt, Kim and Straus, Sharon E.",,English,BMC,"CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","Background: Transparent reporting of rapid reviews enables appropriate use of research findings and dissemination strategies can strengthen uptake and impact for the targeted knowledge users, including policy-makers and health system managers. The aim of this literature review was to understand reporting and dissemination approaches for rapid reviews and provide an overview in the context of health policy and systems research. Methods: A literature review and descriptive summary of the reporting and disseminating approaches for rapid reviews was conducted, focusing on available guidance and methods, considerations for engagement with knowledge users, and optimizing dissemination. MEDLINE, PubMed, Google scholar, as well as relevant websites and reference lists were searched from January 2017 to March 2021 to identify the relevant literature with no language restrictions. Content was abstracted and charted. Results: The literature review found limited guidance specific to rapid reviews. Building on the barriers and facilitators to systematic review use, we provide practical recommendations on different approaches and methods for reporting and disseminating expedited knowledge synthesis considering the needs of health policy and systems knowledge users. Reporting should balance comprehensive accounting of the research process and findings with what is{''}good enough{''}or sufficient to meet the requirements of the knowledge users, while considering the time and resources available to conduct a review. Typical approaches may be used when planning the dissemination of rapid review findings; such as peer-reviewed publications or symposia and clear and ongoing engagement with knowledge users in crafting the messages is essential so they are appropriately tailored to the target audience. Consideration should be given to providing different products for different audiences. Dissemination measures and bibliometrics are also useful to gauge impact and reach. Conclusions: Limited guidance specific to the reporting and dissemination of rapid reviews is available. Although approaches to expedited synthesis for health policy and systems research vary, considerations for the reporting and dissemination of findings are pertinent to all.",,10.1186/s13643-022-01897-5,Rapid review; Time factors; Evidence synthesis; Methods; Reporting; Dissemination; Health service...,NA,,NA,NA,paper 4 a review of reporting and disseminating approaches for rapid reviews in health policy and systems research
rayyan-322867238,Psychometric properties of the ASEBA Child Behaviour Checklist and Youth Self-Report in sub-Saharan Africa - A systematic review,2022,NA,,ACTA NEUROPSYCHIATRICA,1601-5215,NA,NA,,"Zieff, Michal R. and Fourie, Claire and Hoogenhout, Michelle and Donald, Kirsten A.",,English,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA","Objective: Behavioural screening tools may be used to identify at-risk children in resource-limited settings in sub-Saharan Africa. The ASEBA forms (Child Behaviour Checklist and Youth Self-Report) are frequently translated and adapted for use in sub-Saharan African populations, but little is known about their measurement properties in these contexts. Methods: We conducted a systematic review of all published journal articles that used the ASEBA forms with sub-Saharan African samples. We evaluated the reported psychometric properties, as well as the methodological quality of the psychometric evaluations, using COSMIN (COnsensus-based Standards for the selection of health Measurement INstruments) guidelines. Results: Fifty-eight studies reported measurement properties of the ASEBA forms. Most studies came from Southern (n = 29, 50\%) or East African (n = 25, 43\%) countries. Forty-nine studies (84\%) used translated versions of the tool, but details regarding the translation process, if available, were often sparse. Most studies (n = 47, 81\%) only reported internal consistency (using coefficient alpha) for one or more subscale. The methodological quality of the psychometric evaluations ranged from `very good' to `inadequate' across all measurement properties, except for internal consistency. Conclusions: There is limited good quality psychometric evidence available for the ASEBA forms in sub-Saharan Africa. We recommend (i) implementing a standardised procedure for conducting and reporting translation processes and (ii) conducting more comprehensive psychometric evaluations of the translated versions of the tools.",,10.1017/neu.2022.5,ASEBA; child behaviour checklist; youth self-report; psychometric; sub-Saharan Africa,NA,,NA,NA,psychometric properties of the aseba child behaviour checklist and youth selfreport in subsaharan africa a systematic review
