key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,PDF.files,X..,title2
rayyan-322870325,High-frequency ultrasound combined with contrast-enhanced ultrasound in diagnosis of pseudoaneurysm with thrombus after tooth extraction: Case report,2020,NA,,Chinese Journal of Medical Imaging Technology,10033289 (ISSN),36,9,1404,"Leng, Q. and Jia, Y. and Wang, Z.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095719235&doi=10.13929%2Fj.issn.1003-3289.2020.09.031&partnerID=40&md5=e9cc3515b88bcd93882597ff73a57f0a,Chinese,Editorial Office - Chinese Journal of Interventional Imaging and Therapy,,,Export Date: 19 September 2025; Cited By: 0,10.13929/j.issn.1003-3289.2020.09.031,"Aneurysm, False;Thrombosis;Tooth Extraction;Ultrasonography;Article;Case Report;Clinical Article;Contrast-enhanced Ultrasound;False Aneurysm;High Frequency Ultrasound;Human;Thrombus;Tooth Extraction;Article;case report;clinical article;contrast-enhanced ultrasound;false aneurysm;high frequency ultrasound;human;thrombus;tooth extraction",NA,,NA,NA,highfrequency ultrasound combined with contrastenhanced ultrasound in diagnosis of pseudoaneurysm with thrombus after tooth extraction case report
rayyan-322870336,Item screening of the Chinese medicine clinican’s reporting outcome scale for functional dyspepsia based on the Delphi method,2020,NA,,Chinese Journal of Integrated Traditional and Western Medicine on Digestion,1671038X (ISSN),28,8,617-621,"Zhang, Y.-L. and Gu, S.-Z. and Dou, D.-B.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210953234&doi=10.3969%2Fj.issn.1671-038X.2020.08.10&partnerID=40&md5=3baed6a5bab532bd864a10ec979509c0,Chinese,Editorial Office of Chinese Journal of Integrated Traditional and Western Medicine on Digestion,"Shuguang Hospital affiliated to Shanghai University of Traditional Chinese Medicine, Department of TCM, Shanghai, China","[Objective] To screen and determine the items of the ""Chinese Medicine Clinican's Reporting Outcome Scale for functional dyspepsia"" by Delphi method, and to develop a therapeutic evaluation system that is consistent with the characteristics of TCM diagnosis and treatment.[Methods]Based on the literature review, the item pool of ""Chinese Medicine Clinican's Reporting Outcome Scale for functional dyspepsia"" was established. Through the three rounds of Delphi method expert consultation, the opinions of 24 Chinese medicine experts of digestive system disease from Beijing, Shanghai, Guangzhou, and other fourteen provinces and cities were analyzed.[Results]The average positive coefficient of experts in the three rounds of consultation was 82.73%.The mean, perfect ratio, unimportant percentage, coefficient of variation, and Kendall's test coefficient confirmed that the expert opinions had good concentration and coordination. Finally, 15 items such as bloating and stomach cramps after sifting were screened as items for the scale.[Conclusion]The Delphi method can bring together expert opinions and opinions, filter and adjust the scale entries, and effectively improve the rationality and practicability of the scale. © 2024 Elsevier B.V., All rights reserved.",Export Date: 19 September 2025; Cited By: 0,10.3969/j.issn.1671-038X.2020.08.10,Curative Effect;Delphi Method;Functional Dyspepsia;Scale;Traditional Chinese Medicine,NA,,NA,NA,item screening of the chinese medicine clinicans reporting outcome scale for functional dyspepsia based on the delphi method
rayyan-322870337,"Erratum: Berlin, August 29, 2019 - Opinion of the German Society of Gynecology and Obstetrics (DGGG) and the German Society for Senology (DGS) on the IQTIG preliminary report (as of August 16, 2019) ""Quality indicators relevant for planning. Further development of suitability test of other indica...",2020,NA,,Geburtshilfe und Frauenheilkunde,14388804 (ISSN); 00165751 (ISSN),80,8,793,"Gerber, B. and Lux, M.P. and Solbach, C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096004699&doi=10.1055%2Fa-1189-6542&partnerID=40&md5=9d19dd078d515e62f2be3d17bf85ea24,German,Georg Thieme Verlag,,,Export Date: 19 September 2025; Cited By: 0; CODEN: GEFRA,10.1055/a-1189-6542,Erratum;erratum,NA,,NA,NA,erratum berlin august 29 2019 opinion of the german society of gynecology and obstetrics dggg and the german society for senology dgs on the iqtig preliminary report as of august 16 2019 quality indicators relevant for planning further development of suitability test of other indica
rayyan-322870338,"Correction to: A Systematic Review of Methodological Variation in Healthcare Provider Perspective Tuberculosis Costing Papers Conducted in Low- and Middle-Income Settings, Using An Intervention-Standardised Unit Cost Typology (PharmacoEconomics, (2020), 38, 8, (819-837), 10.1007/s40273-020-00910-w)",2020,NA,,PharmacoEconomics,11707690 (ISSN); 11792027 (ISSN),38,8,899-900,"Cunnama, L. and Gomez, G.B. and Siapka, M. and Herzel, B. and Hill, J. and Kairu, A. and Levin, C. and Okello, D. and DeCormier Plosky, W. and García Baena, I.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085514149&doi=10.1007%2Fs40273-020-00928-0&partnerID=40&md5=0fdbe221f1cfde37958caf57651910d8,English,Adis,"[""Faculty of Health Sciences, University of Cape Town, Health Economics Unit, Cape Town, South Africa"", ""London School of Hygiene & Tropical Medicine, Department of Global Health and Development, London, United Kingdom"", ""University of California, San Francisco, Institute for Health Policy Studies, San Francisco, United States"", ""University of Washington, Department of Global Health, Seattle, United States"", ""Avenir Health, Glastonbury, United States"", ""Organisation Mondiale de la Santé, TB Monitoring and Evaluation, Geneva, Switzerland""]","In the original version of this article, Fig. 3 was published in an incorrect format. The correct figure is published with this correction. © 2020 Elsevier B.V., All rights reserved.",Export Date: 19 September 2025; Cited By: 0; CODEN: PARME,10.1007/s40273-020-00928-0,Erratum;erratum,NA,,NA,NA,correction to a systematic review of methodological variation in healthcare provider perspective tuberculosis costing papers conducted in low and middleincome settings using an interventionstandardised unit cost typology pharmacoeconomics 2020 38 8 819837 101007s4027302000910w
rayyan-322870350,Erratum: Materials space of solid-state electrolytes: Unraveling chemical composition-structure-ionic conductivity relationships in garnet-type metal oxides using cheminformatics virtual screening approaches (Physical Chemistry Chemical Physics (2017) 19 (20904-20918) DOI: 10.1039/c7cp00518k),2020,NA,,Physical Chemistry Chemical Physics,14639084 (ISSN); 14639076 (ISSN),22,26,15058,"Kireeva, N. and Pervov, V.S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088207534&doi=10.1039%2Fd0cp90141e&partnerID=40&md5=eb01059189786b20119e646254df1668,English,Royal Society of Chemistry orders@rsc.org,"[""A.N. Frumkin Institute of Physical Chemistry and Electrochemistry of the Russian Academy of Sciences, Moscow, Russian Federation"", ""Moscow Institute of Physics and Technology, Dolgoprudny, Russian Federation"", ""Kurnakov Institute of General and Inorganic Chemistry, Russian Academy of Sciences, Moscow, Russian Federation""]","The authors would like to add an additional acknowledgment for the software used in the published article. The additional text is as follows: For the visualization of the structures VESTA software has been used.1 The Royal Society of Chemistry apologises for these errors and any consequent inconvenience to authors and readers. © 2020 Elsevier B.V., All rights reserved.",Export Date: 19 September 2025; Cited By: 0; CODEN: PPCPF,10.1039/d0cp90141e,Erratum;erratum,NA,,NA,NA,erratum materials space of solidstate electrolytes unraveling chemical compositionstructureionic conductivity relationships in garnettype metal oxides using cheminformatics virtual screening approaches physical chemistry chemical physics 2017 19 2090420918 doi 101039c7cp00518k
rayyan-322870351,A Novel Simplified Approach for Text Line Extraction of Handwritten Malayalam Document,2020,NA,,,9781728164533 (ISBN),NA,NA,43-48,"Pearlsy, P.V. and Sankar, D. and Joy, J. and Sreeraj, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094618892&doi=10.1109%2FACCTHPA49271.2020.9213218&partnerID=40&md5=773fa861cb7134fa1370204b135b5e6c,English,Institute of Electrical and Electronics Engineers Inc.,"Cochin University of Science and Technology, Division of Electronics, Kochi, India","This paper presents a novel and simple method for extracting individual lines from handwritten Malayalam documents. The challenge involved in text line extraction of handwritten document is segmentation of touching lines. As far as Malayalam language is considered, symbols like chandrakkala will be classified into separate line due to the small gap between the Malayalam alphabet and the symbol chandrakkala. This paper addresses the possibility of touching lines and misclassification of character like chandrakkala into a separate line. In the proposed method, the scanned handwritten document is divided into vertical stripes. Using horizontal projection method lines are extracted in each vertical stripe separately. Touching lines, segmentation of character like chandrakkala into separate line and extra lines due to noise are addressed using the median values of the height of lines in each vertical stripe separately. The handwritten document image is divided into vertical stripes prior to line segmentation to account for the possibility of skewed lines. When the document is divided into vertical stripe, the characters will be cut in between. This paper also presents a solution to join the characters cut in between when the document is divided into vertical stripes. This is done by compensating for the distance of characters from the top of the line at the joining edge of the vertical stripe. © 2020 Elsevier B.V., All rights reserved.","Export Date: 19 September 2025; Cited By: 1; Conference name: 2020 Advanced Computing and Communication Technologies for High Performance Applications, ACCTHPA 2020; Conference location: Cochin, Kerala",10.1109/ACCTHPA49271.2020.9213218,Horizontal Projection;Line Segmentation;Malayalam;Median;Extraction;Handwritten Document;Handwritten Document Images;Horizontal Projections;Line Segmentation;Misclassifications;Simple Method;Text-line Extractions;Vertical Stripe;Image Segmentation;Extraction;Handwritten document;Handwritten document images;Horizontal projections;Line segmentation;Misclassifications;SIMPLE method;Text-line extractions;Vertical stripe;Image segmentation,NA,,NA,NA,a novel simplified approach for text line extraction of handwritten malayalam document
rayyan-322870353,"The effect of the CONSORT statement on the amount of ""unclear"" Risk of Bias reporting in Cochrane Systematic Reviews",2020,NA,,PLOS ONE,19326203 (ISSN),15,7,,"Rademake, M.M. and Ramakers, G.G.J. and Smi, A.L. and Hooft, L. and Stegeman, I.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088205736&doi=10.1371%2Fjournal.pone.0235535&partnerID=40&md5=2325799e06cc4f5ba15e276e3d7d572b,English,Public Library of Science plos@plos.org,"[""University Medical Center Utrecht, Department of Otolaryngology-Head and Neck Surgery, Utrecht, Netherlands"", ""University Medical Center Utrecht, Utrecht, Netherlands"", ""University Medical Center Utrecht, Cochrane Netherlands, Utrecht, Netherlands"", ""University Medical Center Utrecht, Utrecht, Netherlands""]","Background The Consolidated Standards of Reporting Trials (CONSORT) statement aims to improve clarity and consistency of transparency of reporting in Randomized Controlled Trials (RCTs). The Cochrane Risk of Bias (RoB) tool for RCTs helps authors to judge the RoB. as ""low"", ""high""or ""unclear"". Objective In this study we aimed to assess whether the implementation and updates of the CONSORT statement influenced the trend of ""unclear""RoB scores of RCTs included in Cochrane systematic reviews. Methods All Cochrane reviews published in December to October 2016 were retrieved. The publication year of RCTS included in the reviews were sorted into time frames (≤1995, 1996-2000, 2001-2009 and ≥2010) based on the release- and updates of the CONSORT statement (1996, 2001 and 2010). The association between ""unclear""RoB versus ""low or high""RoB and the year of publication in different time frames were calculated using a binary logistic regression. Results Data was extracted from 64 Cochrane reviews, with 989 RCTS (6471 items). The logistic regression showed that the odds of RCTs published ≥2010, compared to ≤1995 were more likely not to report an ""unclear""RoB for the total data (Odds Ratio (OR) 0.69 (95% Confidence interval: 0.59-0.80)), random sequence generation (OR 0.32 (0.22-0.47), allocation concealment (0.64 (0.43-0.95)) and incomplete outcome data (OR 0.60 (0.39-0.91)). Conclusion A slight decrease of ""unclear""RoB reporting over time was found. To improve quality of reporting authors are encouraged to adhere to reporting guidelines. Copyright: © 2020 Elsevier B.V., All rights reserved.",Export Date: 19 September 2025; Cited By: 7; CODEN: POLNC,10.1371/journal.pone.0235535,Genetic Susceptibility;Human;Practice Guideline;Randomized Controlled Trial (topic);Review;Risk Assessment;Systematic Review;Methodology;Standard;Statistical Bias;Bias;Randomized Controlled Trials As Topic;Reference Standards;Research Design;Systematic Reviews As Topic;genetic susceptibility;human;practice guideline;randomized controlled trial (topic);review;risk assessment;systematic review;methodology;standard;statistical bias;Bias;Randomized Controlled Trials as Topic;Reference Standards;Research Design;Systematic Reviews as Topic,NA,,NA,NA,the effect of the consort statement on the amount of unclear risk of bias reporting in cochrane systematic reviews
rayyan-322870354,Relationship of sexual double standard with sexual functioning and risk sexual behaviors: A systematic review,2020,NA,,Revista Iberoamericana de Psicologia y Salud,19899246 (ISSN); 21712069 (ISSN),11,2,103-116,"Álvarez-Muelas, A. and Gómez-Berrocal, C. and Sierra, J.C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088018697&doi=10.23923%2Fj.rips.2020.02.038&partnerID=40&md5=0f5786feca9bfe8425ef0c0ed9a28d29,Spanish,Consejo General de la Psicologia de Espana rips@cop.es,"Universidad de Granada, Centro de Investigación Mente, Granada, Spain","Sexual double standard (SDS) refers to the acceptance of different criteria for the assessment of the same sexual behavior in men and women. Due to the absence of previous bibliographical reviews, this study presents a systematic review of the relationship between SDS, sexual functioning, and risk sexual behaviors. From a search of different databases, it was obtained a total of 22 scientific articles. The results indicate that attitude in favor of SDS harms sexual functioning and favors risk sexual behaviors, which were more harmful to women. The importance of the study of SDS in sexual health is discussed, to understand sexual functioning and the incidence of risk sexual behaviors. It is recommended to improve the instruments used to measure SDS, to guarantee an exact and invariant evaluation of this phenomenon in those groups defined by gender and other socio-cultural variables. © 2020 Elsevier B.V., All rights reserved.",Export Date: 19 September 2025; Cited By: 23,10.23923/j.rips.2020.02.038,Risk Sexual Behaviors;Sexual Double Standard;Sexual Function;Sexual Health;Systematic Review;Adult;Article;Attitude;Female;Gender;Human;Incidence;Male;Sexual Behavior;Sexual Function;Sexual Health;Systematic Review;adult;article;attitude;female;gender;human;incidence;male;sexual behavior;sexual function;sexual health;systematic review,NA,,NA,NA,relationship of sexual double standard with sexual functioning and risk sexual behaviors a systematic review
rayyan-322870387,"Artificial intelligence versus clinicians: Systematic review of design, reporting standards, and claims of deep learning studies in medical imaging",2020,NA,,BMJ,00071447 (ISSN); 09598146 (ISSN); 17561833 (ISSN),368,NA,,"Nagendran, M. and Chen, Y. and Lovejoy, C.A. and Gordon, A.C. and Komorowski, M. and Harvey, H. and Topol, E.J. and Ioannidis, J.P.A. and Collins, G.S. and Maruthappu, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082505268&doi=10.1136%2Fbmj.m689&partnerID=40&md5=0650999b1d973e0443b53b5f0a02e7ce,English,BMJ Publishing Group subscriptions@bmjgroup.com,"[""Imperial College London, Pain Medicine and Intensive Care, London, United Kingdom"", ""University College London, Institute of Cardiovascular Science, London, United Kingdom"", ""Cera Care Limited, London, United Kingdom"", ""Imperial College Healthcare NHS Trust, Centre for Perioperative and Critical Care Research, London, United Kingdom"", ""Imperial College London, Department of Bioengineering, London, United Kingdom"", ""Hardian Health, London, United Kingdom"", ""Scripps Research Translational Institute, San Diego, United States"", ""Stanford University School of Medicine, Departments of Statistics and Biomedical Data Science, Stanford, United States"", ""University of Oxford Medical Sciences Division, Oxford, United Kingdom"", ""Oxford University Hospitals NHS Foundation Trust, Oxford, United Kingdom""]","To systematically examine the design, reporting standards, risk of bias, and claims of studies comparing the performance of diagnostic deep learning algorithms for medical imaging with that of expert clinicians. Design Systematic review. Data sources Medline, Embase, Cochrane Central Register of Controlled Trials, and the World Health Organization trial registry from 2010 to June 2019. Eligibility criteria for selecting studies Randomised trial registrations and non-randomised studies comparing the performance of a deep learning algorithm in medical imaging with a contemporary group of one or more expert clinicians. Medical imaging has seen a growing interest in deep learning research. The main distinguishing feature of convolutional neural networks (CNNs) in deep learning is that when CNNs are fed with raw data, they develop their own representations needed for pattern recognition. The algorithm learns for itself the features of an image that are important for classification rather than being told by humans which features to use. The selected studies aimed to use medical imaging for predicting absolute risk of existing disease or classification into diagnostic groups (eg, disease or non-disease). For example, raw chest radiographs tagged with a label such as pneumothorax or no pneumothorax and the CNN learning which pixel patterns suggest pneumothorax. Review methods Adherence to reporting standards was assessed by using CONSORT (consolidated standards of reporting trials) for randomised studies and TRIPOD (transparent reporting of a multivariable prediction model for individual prognosis or diagnosis) for non-randomised studies. Risk of bias was assessed by using the Cochrane risk of bias tool for randomised studies and PROBAST (prediction model risk of bias assessment tool) for non-randomised studies. Results Only 10 records were found for deep learning randomised clinical trials, two of which have been published (with low risk of bias, except for lack of blinding, and high adherence to reporting standards) and eight are ongoing. Of 81 non-randomised clinical trials identified, only nine were prospective and just six were tested in a real world clinical setting. The median number of experts in the comparator group was only four (interquartile range 2-9). Full access to all datasets and code was severely limited (unavailable in 95% and 93% of studies, respectively). The overall risk of bias was high in 58 of 81 studies and adherence to reporting standards was suboptimal (<50% adherence for 12 of 29 TRIPOD items). 61 of 81 studies stated in their abstract that performance of artificial intelligence was at least comparable to (or better than) that of clinicians. Only 31 of 81 studies (38%) stated that further prospective studies or trials were required. Conclusions Few prospective deep learning studies and randomised trials exist in medical imaging. Most non-randomised trials are not prospective, are at high risk of bias, and deviate from existing reporting standards. Data and code availability are lacking in most studies, and human comparator groups are often small. Future studies should diminish risk of bias, enhance real world clinical relevance, improve reporting and transparency, and appropriately temper conclusions. Study registration PROSPERO CRD42019123605. © 2020 Elsevier B.V., All rights reserved.",Export Date: 19 September 2025; Cited By: 674; CODEN: BMJOA,10.1136/bmj.m689,"Article;Artificial Intelligence;Cataract;Clinician;Colonoscopy;Comparative Study;Convolutional Neural Network;Deep Learning;Diagnostic Accuracy;Diagnostic Imaging;Diagnostic Test Accuracy Study;Disease Classification;Human;Information Processing;Methodology;Pattern Recognition;Polyp;Prediction;Priority Journal;Protocol Compliance;Randomized Controlled Trial (topic);Reporting Standard;Reproducibility;Risk;Sensitivity And Specificity;Systematic Review;Algorithm;Image Processing;Physician;Statistical Bias;Algorithms;Bias;Deep Learning;Diagnostic Imaging;Humans;Image Processing, Computer-assisted;Physicians;Randomized Controlled Trials As Topic;Research Design;Article;artificial intelligence;cataract;clinician;colonoscopy;comparative study;convolutional neural network;deep learning;diagnostic accuracy;diagnostic imaging;diagnostic test accuracy study;disease classification;human;information processing;methodology;pattern recognition;polyp;prediction;priority journal;protocol compliance;randomized controlled trial (topic);reporting standard;reproducibility;risk;sensitivity and specificity;systematic review;algorithm;image processing;physician;statistical bias;Algorithms;Bias;Deep Learning;Diagnostic Imaging;Humans;Image Processing, Computer-Assisted;Physicians;Randomized Controlled Trials as Topic;Research Design",NA,,NA,NA,artificial intelligence versus clinicians systematic review of design reporting standards and claims of deep learning studies in medical imaging
rayyan-322870398,"Berlin, August 29, 2019 - Statement of the German Society of Gynecology and Obstetrics (DGGG) and the German Society of Senology (DGS) on the IQTIG preliminary report (status as of August 16, 2019) ""Quality indicators relevant to planning. Further development on the suitability test of other indi...",2020,NA,,Geburtshilfe und Frauenheilkunde,14388804 (ISSN); 00165751 (ISSN),80,2,143-146,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081264755&doi=10.1055%2Fa-1086-2435&partnerID=40&md5=2b7805537b9cb8bb9fe4916b2d708c3a,German,Georg Thieme Verlag,,,Export Date: 19 September 2025; Cited By: 0; CODEN: GEFRA,10.1055/a-1086-2435,Article;Germany;Gynecology;Human;Medical Society;Obstetrics;Practice Guideline;Standard;Treatment Planning;Article;Germany;gynecology;human;medical society;obstetrics;practice guideline;standard;treatment planning,NA,,NA,NA,berlin august 29 2019 statement of the german society of gynecology and obstetrics dggg and the german society of senology dgs on the iqtig preliminary report status as of august 16 2019 quality indicators relevant to planning further development on the suitability test of other indi
