key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-433008080,Extension of the PRISMA 2020 statement for living systematic reviews (PRISMA-LSR): checklist and explanation,2024,1,NA,,00071447; 09598146; 17561833,NA,NA,,"Akl, E.A. and Khabsa, J. and Iannizzi, C. and Piechotta, V. and Kahale, L.A. and Barker, J.M. and McKenzie, J.E. and Page, M.J. and Skoetz, N. and Aburrow, T. and Askie, L. and Bachelet, V.C. and Brahem, A.B. and Bouter, L. and Brignardello-Petersen, R. and Burns, J. and Chaimani, A. and Chang, C. and Chang, S. and Clarke, M. and Dwan, K. and Follmann, M. and Gluud, C. and Guyatt, G. and Hooft, L. and Jacobs, A. and Krebs, S. and Kredo, T. and Lasserson, T. and MacDonald, H. and Marshall, I. and McDonald, S. and McInnes, M.D.F. and Meerpohl, J. and Metzendorf, M.-I. and Moher, D. and Moja, L. and Moons, K.G.M. and Murad, M.H. and Mustafa, R. and Negrini, S. and Nieuwlaat, R. and Nikolakopoulou, A. and Nothacker, M. and Qaseem, A. and Rada, G. and Rethlefsen, M.L. and Reveiz-Herault, L. and Rojas-Reyes, M.X. and Salameh, J.-P. and Salanti, G. and Saldanha, I.J. and Schmitt, J. and Schunemann, H.J. and Sever, R. and Simmonds, M. and Singh, B. and Synnot, A. and Jeppesen, B.T. and Thomas, J. and Tovey, D. and Tricco, A.C. and Turner, T. and Vandvik, P.O. and Wakeford, H. and Weibel, S. and Welch, V. and Wiercioch, W. and Alam, S. and Boutron, I. and Clifford, T. and Elliott, J. and Featherstone, R. and Loder, E. and O'Dea, R. and Saran, A.",,,BMJ Publishing Group,,[No abstract available],"RAYYAN-INCLUSION: {""Kyle ""=>""Included""}",10.1136/bmj-2024-079183,,NA,
rayyan-433008081,Interpretation of the PRISMA extension for Chinese herbal medicine review (PRISMA-CHM); 中药系统评价/Meta 分析报告规范(PRISMA-CHM)解读,2023,1,NA,,16722531,23,11,,"Li, Y. and Xiong, J. and Zhang, Z. and Liao, K. and Zhou, X. and Li, J. and Xiang, J. and Xu, L.",,,West China University of Medical Science,,"According to the evidence pyramid model, systematic review (SR)/meta-analysis (MA) is one of the essential sources with a high level of clinical evidence. A high-quality SR/MA can effectively guide clinical decision-making and practice. The preferred reporting items for systematic reviews and meta-analyses extension for Chinese herbal medicines (PRISMA-CHM) were officially published in 2020. In this study, based on research cases, the features of PRISMA-CHM were interpreted in detail, so as to help domestic users accurately grasp the details of the reports, in order to improve the quality of the reports of SR/MA of traditional Chinese medicine. © 2023 West China University of Medical Science. All rights reserved.","RAYYAN-INCLUSION: {""Kyle ""=>""Included""}",10.7507/1672-2531.202303057,,NA,
rayyan-433008082,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews; A declaração PRISMA 2020: diretriz atualizada para relatar revisões sistemáticas; Declaración PRISMA 2020: una guía actualizada para la publicación de revisiones sistemáticas,2022,1,NA,,10204989,46,NA,,"Page, M.J. and McKenzie, J.E. and Bossuyt, P.M. and Boutron, I. and Hoffmann, T.C. and Mulrow, C.D. and Shamseer, L. and Tetzlaff, J.M. and Akl, E.A. and Brennan, S.E. and Chou, R. and Glanville, J. and Grimshaw, J.M. and Hróbjartsson, A. and Lalu, M.M. and Li, T. and Loder, E. and Mayo-Wilson, E. and McDonald, S. and McGuinness, L.A. and Stewart, L.A. and Thomas, J. and Tricco, A.C. and Welch, V. and Whiting, P. and Moher, D.",,,Pan American Health Organization,,"The Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) statement, published in 2009, was designed to help systematic reviewers transparently report why the review was done, what the authors did, and what they found. Over the past decade, advances in systematic review methodology and terminology have necessitated an update to the guideline. The PRISMA 2020 statement replaces the 2009 statement and includes new reporting guidance that reflects advances in methods to identify, select, appraise, and synthesise studies. The structure and presentation of the items have been modified to facilitate implementation. In this article, we present the PRISMA 2020 27-item checklist, an expanded checklist that details reporting recommendations for each item, the PRISMA 2020 abstract checklist, and the revised flow diagrams for original and updated reviews. © 2022 Pan American Health Organization. All rights reserved.","RAYYAN-INCLUSION: {""Kyle ""=>""Included""}",10.26633/RPSP.2022.112,,NA,
rayyan-433008087,Extending the PRISMA statement to equity-focused systematic reviews (PRISMA-E 2012): explanation and elaboration,2016,1,NA,,19439342,8,2,,"Welch, V. and Petticrew, M. and Petkovic, J. and Moher, D. and Waters, E. and White, H. and Tugwell, P. and Group, The Prisma-Equity Bellagio and Atun, R. and Awasthi, S. and Barbour, V. and Bhutta, Z.A. and Cuervo, L.G. and Groves, T. and Koehlmoos, T. and Kristjansson, E. and Oxman, A. and Pantoja, T. and Pigott, T. and Ranson, K. and TanTorres, T. and Tharyan, P. and Tovey, D. and Tugwell, P. and Volmink, J. and Wager, E. and Wells, G. and White, H.",,,Routledge,,"The promotion of health equity, the absence of avoidable and unfair differences in health outcomes, is a global imperative. Systematic reviews are an important source of evidence for health decision-makers, but have been found to lack assessments of the intervention effects on health equity. The Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA) is a 27-item checklist intended to improve the transparency and reporting of systematic reviews. We developed an equity extension for PRISMA (PRISMA-E 2012) to help systematic reviewers identify, extract, and synthesise evidence on equity in systematic reviews. In this explanation and elaboration paper we provide the rationale for each extension item. These items are additions or modifications to the existing PRISMA Statement items, in order to incorporate a focus on equity. An example of good reporting is provided for each item as well as the original PRISMA item. This explanation and elaboration document is intended to accompany the PRISMA-E 2012 Statement and the PRISMA Statement to improve understanding of the reporting guideline for users. The PRISMA-E 2012 reporting guideline is intended to improve the transparency and completeness of the reporting of equity-focused systematic reviews. Improved reporting can lead to better judgement of applicability by policymakers, which may result in more appropriate policies and programmes and may contribute to reductions in health inequities. To encourage wide dissemination of this article it is accessible on the International Journal for Equity in Health, Journal of Clinical Epidemiology, and Journal of Development Effectiveness websites. © 2016 The Author(s). Published by Taylor & Francis.","RAYYAN-INCLUSION: {""Kyle ""=>""Included""}",10.1080/19439342.2015.1113196,,NA,
rayyan-433008091,"Journal article reporting standards for qualitative primary, qualitative meta-analytic, and mixed methods research in psychology: The APA publications and communications board task force report",2018,NA,NA,American Psychologist,0003066X,73,1,26 - 46,"Levitt, Heidi M. and Bamberg, Michael and Creswell, John W. and Frost, David M. and Josselson, Ruthellen L. and Suárez-Orozco, Carola",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040670953&doi=10.1037%2Famp0000151&partnerID=40&md5=468ab76680de80cb784349e21bfbf42a,English,American Psychological Association Inc. journals@apa.org,,"The American Psychological Association Publications and Communications Board Working Group on Journal Article Reporting Standards for Qualitative Research (JARS-Qual Working Group) was charged with examining the state of journal article reporting standards as they applied to qualitative research and with generating recommendations for standards that would be appropriate for a wide range of methods within the discipline of psychology. These standards describe what should be included in a research report to enable and facilitate the review process. This publication marks a historical moment-the first inclusion of qualitative research in APA Style, which is the basis of both the Publication Manual of the American Psychological Association (APA, 2010) and APA Style CENTRAL, an online program to support APA Style. In addition to the general JARS-Qual guidelines, the Working Group has developed standards for both qualitative meta-analysis and mixed methods research. The reporting standards were developed for psychological qualitative research but may hold utility for a broad range of social sciences. They honor a range of qualitative traditions, methods, and reporting styles. The Working Group was composed of a group of researchers with backgrounds in varying methods, research topics, and approaches to inquiry. In this article, they present these standards and their rationale, and they detail the ways that the standards differ from the quantitative research reporting standards. They describe how the standards can be used by authors in the process of writing qualitative research for submission as well as by reviewers and editors in the process of reviewing research. © 2018 American Psychological Association.","Cited by: 1717; All Open Access; Hybrid Gold Open Access | RAYYAN-INCLUSION: {""Kyle ""=>""Included""}",10.1037/amp0000151,health care organization; human; meta analysis (topic); methodology; peer review; psychology; pub...;Research; Periodicals as Topic; Psychology; Qualitative Research; Research Design; Societies;Scientific,NA,
rayyan-433008092,Journal article reporting standards for quantitative research in psychology: The APA publications and Communications Board task force report,2018,NA,NA,American Psychologist,0003066X,73,1,Mar-25,"Appelbaum, Mark I. and Cooper, Harris M. and Kline, Rex Bryan and Mayo-Wilson, Evan and Nezu, Arthur M. and Rao, Stephen M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040662354&doi=10.1037%2Famp0000191&partnerID=40&md5=06fbb9c54ced55dd60cffa123fb2b4ac,English,American Psychological Association Inc. journals@apa.org,,"Following a review of extant reporting standards for scientific publication, and reviewing 10 years of experience since publication of the first set of reporting standards by the American Psychological Association (APA; APA Publications and Communications Board Working Group on Journal Article Reporting Standards, 2008), the APA Working Group on Quantitative Research Reporting Standards recommended some modifications to the original standards. Examples of modifications include division of hypotheses, analyses, and conclusions into 3 groupings (primary, secondary, and exploratory) and some changes to the section on meta-analysis. Several new modules are included that report standards for observational studies, clinical trials, longitudinal studies, replication studies, and N-of-1 studies. In addition, standards for analytic methods with unique characteristics and output (structural equation modeling and Bayesian analysis) are included. These proposals were accepted by the Publications and Communications Board of APA and supersede the standards included in the 6th edition of the Publication Manual of the American Psychological Association (APA, 2010). © 2018 American Psychological Association.","Cited by: 465; All Open Access; Hybrid Gold Open Access | RAYYAN-INCLUSION: {""Kyle ""=>""Included""}",10.1037/amp0000191,health care organization; human; methodology; peer review; psychology; publication; standards; Hu...;Research; Periodicals as Topic; Psychology; Research Design; Societies;Scientific,NA,
rayyan-433008093,Recommendations for reporting of systematic reviews and meta-analyses of diagnostic test accuracy: A systematic review,2017,NA,NA,Systematic Reviews,,6,1,,"McGrath, Trevor Adam and Alabousi, Mostafa and Skidmore, Becky and Korevaar, Daniël Arnoldus and Bossuyt, Patrick M. and Moher, David and Thombs, Brett D. and McInnes, Matthew D.F.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030846961&doi=10.1186%2Fs13643-017-0590-8&partnerID=40&md5=a7aea48484a927361fcbb06bc73acbe1,English,BioMed Central Ltd. info@biomedcentral.com,,"Background: This study is to perform a systematic review of existing guidance on quality of reporting and methodology for systematic reviews of diagnostic test accuracy (DTA) in order to compile a list of potential items that might be included in a reporting guideline for such reviews: Preferred Reporting Items for Systematic Reviews and Meta-Analyses of Diagnostic Test Accuracy (PRISMA-DTA). Methods: Study protocol published on EQUATOR website. Articles in full text or abstract form that reported on any aspect of reporting systematic reviews of diagnostic test accuracy were eligible for inclusion. We used the Ovid platform to search Ovid MEDLINE®, Ovid MEDLINE® In-Process & Other Non-Indexed Citations and Embase Classic+Embase through May 5, 2016. The Cochrane Methodology Register in the Cochrane Library (Wiley version) was also searched. Title and abstract screening followed by full-text screening of all search results was performed independently by two investigators. Guideline organization websites, published guidance statements, and the Cochrane Handbook for Diagnostic Test Accuracy were also searched. Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) and Standards for Reporting Diagnostic Accuracy (STARD) were assessed independently by two investigators for relevant items. Results: The literature searched yielded 6967 results; 386 were included after title and abstract screening and 203 after full-text screening. After reviewing the existing literature and guidance documents, a preliminary list of 64 items was compiled into the following categories: title (three items); introduction (two items); methods (35 items); results (13 items); discussion (nine items), and disclosure (two items). Conclusion: Items on the methods and reporting of DTA systematic reviews in the present systematic review will provide a basis for generating a PRISMA extension for DTA systematic reviews. © 2017 The Author(s).","Cited by: 131; All Open Access; Gold Open Access; Green Final Open Access; Green Open Access | RAYYAN-INCLUSION: {""Kyle ""=>""Included""}",10.1186/s13643-017-0590-8,Article; bibliographic database; data extraction; diagnostic accuracy; information processing; me...,NA,
rayyan-433008095,Preferred reporting items for systematic review and meta-analysis protocols (PRISMA-P) 2015 statement,2015,NA,NA,Systematic Reviews,,4,1,,"Moher, David and Shamseer, Larissa and Clarke, Michael J. and Ghersi, Davina and Liberati, Alessandro and Petticrew, Mark P. and Shekelle, Paul G. and Stewart, Lesley Anne and Altman, Douglas G. and Booth, Alison M. and Chan, Anwen and Chang, Stephanie M. and Clifford, Tammy J. and Dickersin, Kay and Egger, Matthias and Gøtzsche, Peter Christian and Grimshaw, Jeremy M. and Groves, Trish and Helfand, Mark and Higgins, Julian P.t. and Lasserson, Toby J. and Lau, Joseph and Lohr, Kathleen N. and McGowan, Jessie L. and Mulrow, Cynthia D. and Norton, Melissa L. and Page, Matthew James and Sampson, Margaret and Schunemann, Holger J. and Simera, Iveta and Summerskill, William S.M. and Tetzlaff, Jennifer M. and Trikalinos, Thomas A. and Tovey, David I. and Turner, Lucy Ann and Whitlock, Evelyn P.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920780781&doi=10.1186%2F2046-4053-4-1&partnerID=40&md5=979dcecb327fe9782d75c28afea44d8e,English,BioMed Central Ltd. info@biomedcentral.com,,"Systematic reviews should build on a protocol that describes the rationale, hypothesis, and planned methods of the review; few reviews report whether a protocol exists. Detailed, well-described protocols can facilitate the understanding and appraisal of the review methods, as well as the detection of modifications to methods and selective reporting in completed reviews. We describe the development of a reporting guideline, the Preferred Reporting Items for Systematic reviews and Meta-Analyses for Protocols 2015 (PRISMA-P 2015). PRISMA-P consists of a 17-item checklist intended to facilitate the preparation and reporting of a robust protocol for the systematic review. Funders and those commissioning reviews might consider mandating the use of the checklist to facilitate the submission of relevant protocol information in funding applications. Similarly, peer reviewers and editors can use the guidance to gauge the completeness and transparency of a systematic review protocol submitted for publication in a journal or other medium. © 2015 Moher et al.","Cited by: 19628; All Open Access; Gold Open Access; Green Accepted Open Access; Green Final Open Access; Green Open Access | RAYYAN-INCLUSION: {""Kyle ""=>""Included""}",10.1186/2046-4053-4-1,Article; checklist; clinical protocol; consensus development; documentation; funding; medical res...,NA,
rayyan-433008096,STARD 2015: An updated list of essential items for reporting diagnostic accuracy studies,2015,NA,NA,BMJ,00071447; 09598146; 17561833,351,NA,,"Bossuyt, Patrick M. and Reitsma, Johannes Bernardus R. and Bruns, David E. and Gatsonis, Constantine A. and Glasziou, Paul P. and Irwig, Les M. and Lijmer, Jeroen G. and Moher, David and Rennie, Drummond and de Vet, Henrica Cornelia Wilhelmina and Kressel, Herbert Y. and Rifai, Nader and Golub, Robert M. and Altman, Douglas G. and Hooft, L. ’t and Korevaar, Daniël Arnoldus and Cohen, Jérémie F.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948149440&doi=10.1136%2Fbmj.h5527&partnerID=40&md5=6e2ed47469ce6c99b5c73d64b6269104,English,BMJ Publishing Group subscriptions@bmjgroup.com,,,"Cited by: 2651; All Open Access; Green Accepted Open Access; Green Final Open Access; Green Open Access; Hybrid Gold Open Access | RAYYAN-INCLUSION: {""Kyle ""=>""Included""}",10.1136/bmj.h5527,access to information; Article; checklist; diagnostic test accuracy study; medical documentation;...,NA,
rayyan-433008102,Preferred reporting items for systematic reviews and meta-analyses: The PRISMA statement,2009,NA,NA,PLOS Medicine,15491277,6,7,,"Moher, David and Liberati, Alessandro and Tetzlaff, Jennifer M. and Altman, Douglas G. and Antes, Gerd and Atkins, David and Barbour, Virginia and Barrowman, Nick James and Berlin, Jesse A. and Clark, Jocalyn P. and Clarke, Michael J. and Cook, Deborah J. and D’Amico, Roberto and Deeks, Jonathan J. and Devereaux, Philip James and Dickersin, Kay and Egger, Matthias and Ernst, Edzard and Gøtzsche, Peter Christian and Grimshaw, Jeremy M. and Gordon, Guyatt H. and Higgins, Julian P.t. and Ioannidis, John P.A. and Kleijnen, Jos M.P. and Lang, Thomas A. and Magrini, Nicola and McNamee, David and Moja, Lorenzo P. and Mulrow, Cynthia D. and Napoli, Maryann and Oxman, Andrew David and Pham, Bá Z. and Rennie, Drummond and Sampson, Margaret and Schulz, Kenneth F. and Shekelle, Paul G. and Tovey, David I. and Tugwell, Peter S.L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-68049122102&doi=10.1371%2Fjournal.pmed.1000097&partnerID=40&md5=448b17bcf955d19112f0cfde8cddb33d,English,Public Library of Science,,,"Cited by: 57307; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access | RAYYAN-INCLUSION: {""Kyle ""=>""Included""}",10.1371/journal.pmed.1000097,information processing; meta analysis; nomenclature; practice guideline; program development; pub...,NA,
