key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-433008549,PRISMA-COSMIN 2024: New guidance aimed to enhance the reporting quality of systematic reviews of outcome measurement instruments,2024,12,1,INTERNATIONAL JOURNAL OF NURSING STUDIES,0020-7489,160,NA,,"Elsman, Ellen B. M. and Baba, Ami and Offringa, Martin and steering Comm, PRISMA COSMIN",,English,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",,,10.1016/j.ijnurstu.2024.104880,,NA,
rayyan-433008550,"Study protocol for developing, piloting and disseminating the PRISMA-COSMIN guideline: a new reporting guideline for systematic reviews of outcome measurement instruments",2022,6,1,SYSTEMATIC REVIEWS,,11,1,,"Elsman, Ellen B. M. and Butcher, Nancy J. and Mokkink, Lidwine B. and Terwee, Caroline B. and Tricco, Andrea and Gagnier, Joel J. and Aiyegbusi, Olalekan Lee and Barnett, Carolina and Smith, Maureen and Moher, David and Offringa, Martin",,English,BMC,"CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","Background: Systematic reviews of outcome measurement instruments are important tools in the evidence-based selection of these instruments. COSMIN (COnsensus-based Standards for the selection of health Measurement INstruments) has developed a comprehensive and widespread guideline to conduct systematic reviews of outcome measurement instruments, but key information is often missing in published reviews. This hinders the appraisal of the quality of outcome measurement instruments, impacts the decisions of knowledge users regarding their appropriateness, and compromises reproducibility and interpretability of the reviews' findings. To facilitate sufficient, transparent, and consistent reporting of systematic reviews of outcome measurement instruments, an extension of the PRISMA (Preferred Reporting of Items for Systematic reviews and Meta-Analyses) 2020 guideline will be developed: the PRISMA-COSMIN guideline. Methods: The PRISMA-COSMIN guideline will be developed in accordance with recommendations for reporting guideline development from the EQUATOR (Enhancing the QUAlity and Transparency Of health Research) Network. First, a candidate reporting item list will be created through an environmental literature scan and expert consultations. Second, an international Delphi study will be conducted with systematic review authors, biostatisticians, epidemiologists, psychometricians/clinimetricians, reporting guideline developers, journal editors as well as patients, caregivers, and members of the public. Delphi panelists will rate candidate items for inclusion on a 5-point scale, suggest additional candidate items, and give feedback on item wording and comprehensibility. Third, the draft PRISMA-COSMIN guideline and user manual will be iteratively piloted by applying it to systematic reviews in several disease areas to assess its relevance, comprehensiveness, and comprehensibility, along with usability and user satisfaction. Fourth, a consensus meeting will be held to finalize the PRISMA-COSMIN guideline through round-table discussions and voting. Last, a user manual will be developed and the final PRISMA-COSMIN guideline will be disseminated through publications, conferences, newsletters, and relevant websites. Additionally, relevant journals and organizations will be invited to endorse and implement PRISMA-COSMIN. Throughout the project, evaluations will take place to identify barriers and facilitators of involving patient/public partners and employing a virtual process. Discussion: The PRISMA-COSMIN guideline will ensure that the reports of systematic reviews of outcome measurement instruments are complete and informative, enhancing their reproducibility, ease of use, and uptake.",,10.1186/s13643-022-01994-5,COSMIN;PRISMA;Reporting guideline;Delphi study;Systematic review;Consensus;Outcome measurem...,NA,
rayyan-433008551,Steps toward more complete reporting of systematic reviews of diagnostic test accuracy: Preferred Reporting Items for Systematic Reviews and Meta-Analyses of Diagnostic Test Accuracy (PRISMA-DTA),2019,7,1,SYSTEMATIC REVIEWS,,8,NA,,"McGrath, Trevor A. and Moher, David and McInnes, Matthew D. F.",,English,BMC,"CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","Reporting standards in biomedical research have been shown to be suboptimal. The publication of the PRISMA statement has improved the completeness of reporting of systematic reviews, but several issues specific to diagnostic test accuracy are not included in the PRISMA statement. Therefore, a diagnostic test accuracy extension of the PRISMA statement, PRISMA-DTA, was created. This commentary addresses completeness of reporting in systematic reviews, the PRISMA-DTA statement, and strategies for optimal uptake of reporting guidelines.",,10.1186/s13643-019-1090-9,Systematic reviews;Diagnostic test accuracy;PRISMA-DTA;Completeness of reporting,NA,
rayyan-433008552,"ROSES RepOrting standards for Systematic Evidence Syntheses: pro forma, flow-diagram and descriptive summary of the plan and conduct of environmental systematic reviews and systematic maps",2018,3,1,ENVIRONMENTAL EVIDENCE,,7,1,,"Haddaway, Neal R. and Macura, Biljana and Whaley, Paul and Pullin, Andrew S.",,English,BMC,"CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","Reliable synthesis of the various rapidly expanding bodies of evidence is vital for the process of evidence-informed decision-making in environmental policy, practice and research. With the rise of evidence-base medicine and increasing numbers of published systematic reviews, criteria for assessing the quality of reporting have been developed. First QUOROM (Lancet 354:1896-1900, 1999) and then PRISMA (Ann Intern Med 151:264, 2009) were developed as reporting guidelines and standards to ensure medical meta-analyses and systematic reviews are reported to a high level of detail. PRISMA is now widely used by a range of journals as a pre-submission checklist. However, due to its development for systematic reviews in healthcare, PRISMA has limited applicability for reviews in conservation and environmental management. We highlight 12 key problems with the application of PRISMA to this field, including an overemphasis on meta-analysis and no consideration for other synthesis methods. We introduce ROSES (RepOrting standards for Systematic Evidence Syntheses), a pro forma and flow diagram designed specifically for systematic reviews and systematic maps in the field of conservation and environmental management. We describe how ROSES solves the problems with PRISMA. We outline the key benefits of our approach to designing ROSES, in particular the level of detail and inclusion of rich guidance statements. We also introduce the extraction of meta-data that describe key aspects of the conduct of the review. Collated together, this summary record can help to facilitate rapid review and appraisal of the conduct of a systematic review or map, potentially speeding up the peer-review process. We present the results of initial road testing of ROSES with systematic review experts, and propose a plan for future development of ROSES.",,10.1186/s13750-018-0121-7,PRISMA;Quality appraisal;CEESAT;DART;AMSTAR;QUORUM,NA,
rayyan-433008553,Interpretation of reporting guideline for dose-response meta-analysis—G-dose checklist,2017,NA,1,Chinese Journal of Evidence-Based Medicine,16722531 (ISSN),17,6,736-741,"Guo, P. and Zhou, Q. and Gu, W. and Yang, S. and Zhang, L. and Liu, Y. and Zhong, S. and Li, M. and Li, Z. and Xu, C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050766670&doi=10.7507%2F1672-2531.201612086&partnerID=40&md5=6be18a8fdf1223b07bee6a59ff4359ac,Chinese,West China University of Medical Science,"[""Hubei University of Medicine, Department of Hepatobiliary Surgery, Shiyan, China"", ""The First People’s Hospital of Changde City, Department of Science and Education, Changde, China"", ""Nanjing Drum Tower Hospital, Department of Anesthesiology, Nanjing, China"", ""The Central Hospital of Wuhan, Department of Oncology, Wuhan, China"", ""West China School of Medicine/West China Hospital of Sichuan University, Chengdu, Chengdu, China"", ""Lanzhou University, School of Public Health, Lanzhou, China"", ""Lanzhou University, Evidence-Based Medicine Center, Lanzhou, China"", ""Jiangsu Cancer Hospital, Nanjing, China"", ""Nanchang University, Department of Neurology, Nanchang, China"", ""Shenzhen Nanshan District People's Hospital, Shenzhen, China"", ""Hubei University of Medicine, Department of Evidence-Based Medicine Center, Shiyan, China"", ""The Sixth People’s Hospital of Yancheng City, Department of Urology, China""]","Dose-response meta-analysis (DRMA) is one of the branches of meta-analysis, which has provided important evidence for clinical research. Since introducing into China, it has gained great attention. In order to improve the reporting quality of DRMA, Dr. Chang Xu et al. developed the reporting guideline for DAMA-G-Dose Checklist. It was published in Chinese Jouranl of Evidence-based Medicine in 2016. This paper interprets the checklists so as to promote the understanding and use of it. © 2018 Elsevier B.V., All rights reserved.",Export Date: 19 September 2025; Cited By: 1,10.7507/1672-2531.201612086,Interpretation;Meta-analysis Of Dose-response;Reporting Guideline;Article;Attention;Checklist;China;Clinical Research;Dose Response;Human;Meta Analysis;article;attention;checklist;China;clinical research;dose response;human;meta analysis,NA,
rayyan-433008554,Proposed reporting guideline for dose-response meta-analysis (Chinese edition),2016,NA,1,Chinese Journal of Evidence-Based Medicine,16722531 (ISSN),16,10,1221-1226,"Xu, C. and Doi, S.A.R. and Chao, C. and Sun, X. and Chen, H. and Zhou, Q. and Yuan, R.-X. and Guo, P. and Zhang, L.-H. and Niu, Y.-M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048045736&doi=10.7507%2F1672-2531.20160185&partnerID=40&md5=1a0bdf7992a56cafc53861760b66b1f8,Chinese,West China University of Medical Science,"[""Zhongnan Hospital of Wuhan University, Wuhan, Wuhan, China"", ""The Australian National University, Research School of Population Health, Canberra, Australia"", ""Hubei University of Medicine, Center for Evidence-Based Medicine and Clinical Research, Shiyan, China"", ""West China School of Medicine/West China Hospital of Sichuan University, Chengdu, Chengdu, China"", ""Nanjing University of Chinese Medicine, Second Clinical College, Nanjing, China"", ""First People's Hospital of Changde City, Department of Science and Education, Changde Hunan, China"", ""Wuhan University, Department of Biostatistics and Epidemiology, Wuhan, China"", ""Hubei University of Medicine, Department of Hepatobiliary Surgery, Shiyan, China""]","Objective To develop reporting guideline for dose-response meta-analysis (DMA), so as to help Chinese authors to understand DMA better and to promote the reporting quality of DMA conducted by them. Method PubMed, EMbase, The Cochrane Library, CNKI, and WanFang Data were searched from Jan 1st 2011 to Dec 30th 2015 to collect DMA papers published by Chinese authors. The number of these publications by years, whether and what kind of reporting guideline was used, and whether the DMA method claimed in these publications was correct were analysed. Then we drafted a checklist of items for reporting DMA, and organized a discussion meeting with experts from the fields of DMA, evidence-based medicine, clinical epidemiology, and clinicians to collect suggestions for revising the draft reporting guideline for DMA. Results Only 33.73% of the publications clarified it is a DMA on the title and 48.02% of them reported risk of bias. Almost 38.49% of the publications didn't use any reporting guidelines. Fourteen of them claimed an incorrect use of methodology. We primarily took account for 47 potential items related to DMA based on our literature analysis results and existing reporting guidelines for other types of meta-analyses. After the discussion meeting with 6 experts, we revised the items, and finally the G-Dose checklist with 43 items for reporting DMA was developed. Conclusion There is a lack of attention on reporting guidelines in Chinese authors and evidence suggests these authors may be at risk of incomplete understanding on reporting guidelines. It is strongly recommended to use reporting guidelines for DMA and other types of meta-analyses in Chinese authors. © 2018 Elsevier B.V., All rights reserved.",Export Date: 19 September 2025; Cited By: 8,10.7507/1672-2531.20160185,Cross-sectional Analysis;Dose-response Meta-analysis;Reporting Guideline;Article;Attention;Checklist;Clinician;Cochrane Library;Cross-sectional Study;Dose Response;Embase;Human;Medline;Meta Analysis;Publication;Wanfang Database;article;attention;checklist;clinician;Cochrane Library;cross-sectional study;dose response;Embase;human;Medline;meta analysis;publication;WanFang Database,NA,
rayyan-433008555,French translation of the ENTREQ Reporting Guidelines for writing and reading synthesis of Qualitative research,2015,NA,1,Kinesitherapie,17790123 (ISSN); 22131566 (ISSN),15,157,55-58,"Gedda, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032938291&doi=10.1016%2Fj.kine.2014.11.007&partnerID=40&md5=4197f4db60f436ae73de3ff90d36de7a,French,Elsevier Masson s.r.l.,"Université d'Artois, Unité de recherche pluridisciplinaire Sport, Arras, France","This article presents guidelines ENTREQ as a summary sheet.ENTREQ is provided for reporting synthesis of qualitative research.An original French translation of the checklist is proposed.This translation is open access under a Creative Commons Attribution - NonCommercial - No Derivatives 4.0 International License. © 2025 Elsevier B.V., All rights reserved.",Export Date: 19 September 2025; Cited By: 6,10.1016/j.kine.2014.11.007,Assessment;Edition;Evidence-based Practice;Qualitative Research;Quality;Reading;Reporting;Responsibility;Standard;Transparency;Article;France;Information Processing;Practice Guideline;Qualitative Research;Reading;Writing;Checklist;Human;Human Experiment;Licence;Responsibility;Synthesis;Article;France;information processing;practice guideline;qualitative research;reading;writing;checklist;human;human experiment;licence;responsibility;synthesis,NA,
rayyan-433008556,French translation of the PRISMA Reporting Guidelines for writing and reading systematic reviews and meta-analyses,2015,NA,1,Kinesitherapie,17790123 (ISSN); 22131566 (ISSN),15,157,39-44,"Gedda, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032881031&doi=10.1016%2Fj.kine.2014.11.004&partnerID=40&md5=e576f62e71518d786a924e3082f219c9,English,Elsevier Masson SAS 62 rue Camille Desmoulins Issy les Moulineaux Cedex 92442,"Université d'Artois, Laboratoire ER3S (Atelier SHERPAS), Arras, France","This article presents guidelines PRISMA as a summary sheet. PRISMA is provided for reporting systematic reviews and meta-analyses. An original French translation of the checklist and his flow diagram is proposed. This translation is open access under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License. Level of evidence not applicable. © 2017 Elsevier B.V., All rights reserved.",Export Date: 19 September 2025; Cited By: 25,10.1016/j.kine.2014.11.004,Assessment;Edition;Evidence-based Practice;Meta-analysis;Quality;Reading;Reporting;Research;Responsibility;Standard;Systematic Review;Transparency;Checklist;Human;Licence;Male;Practice Guideline;Responsibility;Systematic Review;Writing;checklist;human;licence;male;practice guideline;responsibility;systematic review;writing,NA,
rayyan-433008558,Reporting guidelines and the American Journal of Public Health 's adoption of Preferred Reporting Items for Systematic reviews and Meta-Analyses,2012,NA,1,American Journal of Public Health,15410048 (ISSN); 00900036 (ISSN),102,5,780-784,"McLeroy, K.R. and Northridge, M.E. and Balcázar, H. and Greenberg, M.R. and Landers, S.J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861944891&doi=10.2105%2FAJPH.2011.300630&partnerID=40&md5=c3463cef4e661d80aee12af7c2d9599f,English,,"[""Texas A&M University, College Station, United States"", ""NYU College of Dentistry, Department of Epidemiology and Health Promotion, New York, United States"", ""UTHealth Houston School of Public Health, Houston, United States"", ""Edward J. Bloustein School of Planning and Public Policy, New Brunswick, United States"", ""John Snow, Inc., Arlington, United States""]","Widespread recognition of the need to improve the science of published research, as well as the moral and ethical reasons for adequately reporting study results, has spurred recent interest in strengthening journal research reporting through the use of reporting guidelines. Reporting guidelines also provide information for readers to judge study quality. American Journal of Public Health previously adopted the Consolidated Standards of Reporting Trials and Transparent Reporting of Evaluations With Nonrandomized Designs guidelines and recently endorsed the Preferred Reporting Items for Systematic reviews and Meta-Analyses guidelines. In adopting these guidelines, the journal aims to support authors, reviewers, and editors in reporting and evaluating systematic reviews of public health policy and practice priorities. © 2012 Elsevier B.V., All rights reserved.",Export Date: 19 September 2025; Cited By: 43; CODEN: AJPEA,10.2105/AJPH.2011.300630,Article;Evidence Based Medicine;Human;Literature;Meta Analysis (topic);Practice Guideline;Public Health;Publication;Research;Standard;Evidence-based Medicine;Guidelines As Topic;Humans;Meta-analysis As Topic;Periodicals As Topic;Public Health;Research;Review Literature As Topic;article;evidence based medicine;human;literature;meta analysis (topic);practice guideline;public health;publication;research;standard;Evidence-Based Medicine;Guidelines as Topic;Humans;Meta-Analysis as Topic;Periodicals as Topic;Public Health;Research;Review Literature as Topic,NA,
rayyan-433008560,Improving the reporting quality of reliability generalization meta-analyses: The REGEMA checklist,2021,7,1,RESEARCH SYNTHESIS METHODS,1759-2879,12,4,516-536,"Sanchez-Meca, Julio and Marin-Martinez, Fulgencio and Antonio Lopez-Lopez, Jose and Maria Nunez-Nunez, Rosa and Rubio-Aparicio, Maria and Jose Lopez-Garcia, Juan and Lopez-Pina, Jose Antonio and Blazquez-Rincon, Desiree Ma and Lopez-Ibanez, Carmen and Lopez-Nicolas, Ruben",,English,CAMBRIDGE UNIV PRESS,"EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND","Reliability generalization (RG) is a meta-analytic approach that aims to characterize how reliability estimates from the same test vary across different applications of the instrument. With this purpose RG meta-analyses typically focus on a particular test and intend to obtain an overall reliability of test scores and to investigate how the composition and variability of the samples affect reliability. Although several guidelines have been proposed in the meta-analytic literature to help authors improve the reporting quality of meta-analyses, none of them were devised for RG meta-analyses. The purpose of this investigation was to develop REGEMA (REliability GEneralization Meta-Analysis), a 30-item checklist (plus a flow chart) adapted to the specific issues that the reporting of an RG meta-analysis must take into account. Based on previous checklists and guidelines proposed in the meta-analytic arena, a first version was elaborated by applying the nominal group methodology. The resulting instrument was submitted to a list of independent meta-analysis experts and, after discussion, the final version of the REGEMA checklist was reached. In a pilot study, four pairs of coders applied REGEMA to a random sample of 40 RG meta-analyses in Psychology, and results showed satisfactory inter-coder reliability. REGEMA can be used by: (a) meta-analysts conducting or reporting an RG meta-analysis and aiming to improve its reporting quality; (b) consumers of RG meta-analyses who want to make informed critical appraisals of their reporting quality, and (c) reviewers and editors of journals who are considering submissions where an RG meta-analysis was reported for potential publication.",,10.1002/jrsm.1487,meta-analysis;reliability coefficient;reliability generalization;reporting quality;systematic...,NA,
