key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-433008521,The PRISMA 2020 statement: updated guideline for reporting systematic reviews,2022,NA,1,EPIDEMIOLOGIA E SERVICOS DE SAUDE,1679-4974,31,2,,"Galvao, Tais Freire and Baldin Tiguman, Gustavo Magno and Sarkis-Onofre, Rafael",,Portuguese,MINISTERIO DA SAUDE,"ESPLANADA MINISTERIOS, BLOCO G, BRASILIA, DF 70058-900, BRAZIL",,,10.5123/S1679-49742022000200033,,NA,
rayyan-433008522,The PRISMA 2020 statement: An updated guideline for reporting systematic reviews,2021,4,1,INTERNATIONAL JOURNAL OF SURGERY,1743-9191,88,NA,,"Page, Matthew J. and McKenzie, Joanne E. and Bossuyt, Patrick M. and Boutron, Isabelle and Hoffmann, Tammy C. and Mulrow, Cynthia D. and Shamseer, Larissa and Tetzlaff, Jennifer M. and Akl, Elie A. and Brennan, Sue E. and Chou, Roger and Glanville, Julie and Grimshaw, Jeremy M. and Hrobjartsson, Asbjorn and Lalu, Manoj M. and Li, Tianjing and Loder, Elizabeth W. and Mayo-Wilson, Evan and McDonald, Steve and McGuinness, Luke A. and Stewart, Lesley A. and Thomas, James and Tricco, Andrea C. and Welch, Vivian A. and Whiting, Penny and Moher, David",,English,LIPPINCOTT WILLIAMS \& WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, PA 19103 USA","The Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) statement, published in 2009, was designed to help systematic reviewers transparently report why the review was done, what the authors did, and what they found. Over the past decade, advances in systematic review methodology and terminology have necessitated an update to the guideline. The PRISMA 2020 statement replaces the 2009 statement and includes new reporting guidance that reflects advances in methods to identify, select, appraise, and synthesise studies. The structure and presentation of the items have been modified to facilitate implementation. In this article, we present the PRISMA 2020 27-item checklist, an expanded checklist that details reporting recommendations for each item, the PRISMA 2020 abstract checklist, and the revised flow diagrams for original and updated reviews.",,10.1016/j.ijsu.2021.105906,,NA,
rayyan-433008523,PRISMA AI reporting guidelines for systematic reviews and meta-analyses on AI in healthcare,2023,1,1,NATURE MEDICINE,1078-8956,29,1,14-15,"Cacciamani, Giovanni E. and Chu, Timothy N. and Sanford, Daniel I. and Abreu, Andre and Duddalwar, Vinay and Oberai, Assad and Kuo, C. -C. Jay and Liu, Xiaoxuan and Denniston, Alastair K. and Vasey, Baptiste and McCulloch, Peter and Wolff, Robert F. and Mallett, Sue and Mongan, John and Kahn, Charles E. and Sounderajah, Viknesh and Darzi, Ara and Dahm, Philipp and Moons, Karel G. M. and Topol, Eric and Collins, Gary S. and Moher, David and Gill, Inderbir S. and Hung, Andrew J.",,English,NATURE PORTFOLIO,"HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY",,,10.1038/s41591-022-02139-w,,NA,
rayyan-433008524,Reporting items for systematic reviews and meta-analyses of acupuncture: the PRISMA for acupuncture checklist,2019,8,1,BMC COMPLEMENTARY AND ALTERNATIVE MEDICINE,,19,1,,"Wang, Xiaoqin and Chen, Yaolong and Liu, Yali and Yao, Liang and Estill, Janne and Bian, Zhaoxiang and Wu, Taixiang and Shang, Hongcai and Lee, Myeong Soo and Wei, Dang and Tian, Jinhui and Ma, Bin and Wang, Yongfeng and Tian, Guihua and Yang, Kehu",,English,BMC,"CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","Background Acupuncture is widely used worldwide, and systematic reviews on acupuncture are increasingly being published. Although acupuncture systematic reviews share several essential elements with other systematic reviews, some essential information for the application of acupuncture is not covered by the Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) statement. Considering this, we aimed to develop an extension of the PRISMA statement for acupuncture systematic reviews. Methods We used the PRISMA statement as a starting point, and conducted this study referring to the development strategy recommended by the EQUATOR network. The initial items were collected through a wide survey among evidence users and a review of relevant studies. We conducted a three-round Delphi survey and one-day face-to-face meeting to select items and formulate the checklist. After the consensus meeting, we drafted the manuscript (including the checklist) and sent it to our advisory experts for comments, following which the checklist was refined and circulated to a group of acupuncture systematic review authors for pilot test. We also selected a sample of acupuncture systematic reviews published in 2017 to test the checklist. Results A checklist of five new sub-items (including sub items) and six modified items was formulated, involving content related to title, rationale, eligibility criteria, literature search, data extraction, and study characteristics. We clarified the rationales of the items and provided examples for each item for additional guidance. Conclusion The PRISMA for Acupuncture checklist is developed for improving the reporting of systematic reviews of acupuncture interventions.",,10.1186/s12906-019-2624-3,PRISMA;Acupuncture intervention;Systematic review,NA,
rayyan-433008525,Main items to report Systematic reviews and Meta-analysis: The PRISMA recommendation,2015,4,1,EPIDEMIOLOGIA E SERVICOS DE SAUDE,1679-4974,24,2,335-342,"Altman, Doug and Antes, Gerd and Atkins, David and Barbour, Virginia and Barrowman, Nick and Berlin, Jesse A. and Clark, Jocalyn and Clarke, Mike and Cook, Deborah and D'Amico, Roberto and Deeks, Jonathan J. and Devereaux, P. J. and Dickersin, Kay and Egger, Matthias and Ernst, Edzard and Gotzsche, Peter C. and Grimshaw, Jeremy and Guyatt, Gordon and Higgins, Julian and Ioannidis, John P. A. and Kleijnen, Jos and Lang, Tom and Liberati, Alessandro and Magrini, Nicola and McNamee, David and Moja, Lorenzo and Moher, David and Mulrow, Cynthia and Napoli, Maryann and Oxman, Andy and Pham, Ba and Rennie, Drummond and Sampson, Margaret and Schulz, Kenneth F. and Shekelle, Paul G. and Tetzlaff, Jennifer and Tovey, David and Tugwell, Peter and PRISMA, Grp",,Portuguese,MINISTERIO DA SAUDE,"ESPLANADA MINISTERIOS, BLOCO G, BRASILIA, DF 70058-900, BRAZIL",,,10.5123/S1679-49742015000200017,,NA,
rayyan-433008526,THE PRISMA 2020 STATEMENT: DEVELOPMENT OF AND KEY CHANGES IN AN UPDATED GUIDELINE FOR REPORTING SYSTEMATIC REVIEWS AND META-ANALYSES,2020,5,1,VALUE IN HEALTH,1098-3015,23,1,S312-S313,"Tetzlaff, J. and Page, M. and Moher, D.",,English,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA",,,,,NA,
rayyan-433008527,The PRISMA Extension Statement for Reporting of Systematic Reviews Incorporating Network Meta-analyses of Health Care Interventions: Checklist and Explanations,2015,6,1,ANNALS OF INTERNAL MEDICINE,0003-4819,162,11,777-784,"Hutton, Brian and Salanti, Georgia and Caldwell, Deborah M. and Chaimani, Anna and Schmid, Christopher H. and Cameron, Chris and Ioannidis, John P. A. and Straus, Sharon and Thorlund, Kristian and Jansen, Jeroen P. and Mulrow, Cynthia and Catala-Lopez, Ferran and Gotzsche, Peter C. and Dickersin, Kay and Boutron, Isabelle and Altman, Douglas G. and Moher, David",,English,AMER COLL PHYSICIANS,"INDEPENDENCE MALL WEST 6TH AND RACE ST, PHILADELPHIA, PA 19106-1572, UNITED STATES","The PRISMA statement is a reporting guideline designed to improve the completeness of reporting of systematic reviews and meta-analyses. Authors have used this guideline worldwide to prepare their reviews for publication. In the past, these reports typically compared 2 treatment alternatives: With the evolution of systematic reviews that compare multiple treatments, some of them only indirectly, authors face novel challenges for conducting and reporting their reviews. This extension of the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-analyses) statement was developed specifically to improve the reporting of systematic reviews incorporating network meta-analyses. A group of experts participated in a systematic review, Delphi survey, and face-to-face discussion and consensus meeting to establish new checklist items for this extension statement. Cur-rent PRISMA items were also clarified. A modified, 32-item PRISMA extension checklist was developed to address what the group considered to be immediately relevant to the reporting of network meta-analyses. This document presents the extension and provides examples of good reporting, as well as elaborations regarding the rationale for new checklist items and the modification of previously existing items from the PRISMA statement. It also highlights educational information related to key considerations in the practice of network meta-analysis. The target audience includes authors and readers of network meta-analyses, as well as journal editors and peer reviewers.",,10.7326/M14-2385,,NA,
rayyan-433008528,PRISMA: an attempt to improve standards for reporting systematic review and meta-analysis,2009,NA,1,EPIDEMIOLOGY BIOSTATISTICS AND PUBLIC HEALTH,2282-2305,6,4,352-353,"Boccia, Stefania",,English,PREX SPA,"VIA A FAVA 25, MILAN, 20125, ITALY",,,,,NA,
rayyan-433008530,Preferred reporting items for systematic reviews and meta-analyses in ecology and evolutionary biology: a PRISMA extension,2021,10,1,BIOLOGICAL REVIEWS,1464-7931,96,5,1695-1722,"O'Dea, Rose E. and Lagisz, Malgorzata and Jennions, Michael D. and Koricheva, Julia and Noble, Daniel W. A. and Parker, Timothy H. and Gurevitch, Jessica and Page, Matthew J. and Stewart, Gavin and Moher, David and Nakagawa, Shinichi",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Since the early 1990s, ecologists and evolutionary biologists have aggregated primary research using meta-analytic methods to understand ecological and evolutionary phenomena. Meta-analyses can resolve long-standing disputes, dispel spurious claims, and generate new research questions. At their worst, however, meta-analysis publications are wolves in sheep's clothing: subjective with biased conclusions, hidden under coats of objective authority. Conclusions can be rendered unreliable by inappropriate statistical methods, problems with the methods used to select primary research, or problems within the primary research itself. Because of these risks, meta-analyses are increasingly conducted as part of systematic reviews, which use structured, transparent, and reproducible methods to collate and summarise evidence. For readers to determine whether the conclusions from a systematic review or meta-analysis should be trusted - and to be able to build upon the review - authors need to report what they did, why they did it, and what they found. Complete, transparent, and reproducible reporting is measured by `reporting quality'. To assess perceptions and standards of reporting quality of systematic reviews and meta-analyses published in ecology and evolutionary biology, we surveyed 208 researchers with relevant experience (as authors, reviewers, or editors), and conducted detailed evaluations of 102 systematic review and meta-analysis papers published between 2010 and 2019. Reporting quality was far below optimal and approximately normally distributed. Measured reporting quality was lower than what the community perceived, particularly for the systematic review methods required to measure trustworthiness. The minority of assessed papers that referenced a guideline (similar to 16\%) showed substantially higher reporting quality than average, and surveyed researchers showed interest in using a reporting guideline to improve reporting quality. The leading guideline for improving reporting quality of systematic reviews is the Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) statement. Here we unveil an extension of PRISMA to serve the meta-analysis community in ecology and evolutionary biology: PRISMA-EcoEvo (version 1.0). PRISMA-EcoEvo is a checklist of 27 main items that, when applicable, should be reported in systematic review and meta-analysis publications summarising primary research in ecology and evolutionary biology. In this explanation and elaboration document, we provide guidance for authors, reviewers, and editors, with explanations for each item on the checklist, including supplementary examples from published papers. Authors can consult this PRISMA-EcoEvo guideline both in the planning and writing stages of a systematic review and meta-analysis, to increase reporting quality of submitted manuscripts. Reviewers and editors can use the checklist to assess reporting quality in the manuscripts they review. Overall, PRISMA-EcoEvo is a resource for the ecology and evolutionary biology community to facilitate transparent and comprehensively reported systematic reviews and meta-analyses.",,10.1111/brv.12721,comparative analysis;critical appraisal;evidence synthesis;non-independence;open science;stu...,NA,
rayyan-433008534,PRISMA 2020: a reporting guideline for the next generation of systematic reviews,2021,5,1,JBI EVIDENCE SYNTHESIS,,19,5,906-908,"Brennan, Sue E. and Munn, Zachary",,English,LIPPINCOTT WILLIAMS \& WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, PA 19103 USA",,,10.11124/JBIES-21-00112,,NA,
