key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-433008595,Standards for Reporting Qualitative Research: A Synthesis of Recommendations,2014,9,1,ACADEMIC MEDICINE,1040-2446,89,9,1245-1251,"O'Brien, Bridget C. and Harris, Ilene B. and Beckman, Thomas J. and Reed, Darcy A. and Cook, David A.",,English,LIPPINCOTT WILLIAMS \& WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, PA 19103 USA","Purpose Standards for reporting exist for many types of quantitative research, but currently none exist for the broad spectrum of qualitative research. The purpose of the present study was to formulate and define standards for reporting qualitative research while preserving the requisite flexibility to accommodate various paradigms, approaches, and methods. Method The authors identified guidelines, reporting standards, and critical appraisal criteria for qualitative research by searching PubMed, Web of Science, and Google through July 2013; reviewing the reference lists of retrieved sources; and contacting experts. Specifically, two authors reviewed a sample of sources to generate an initial set of items that were potentially important in reporting qualitative research. Through an iterative process of reviewing sources, modifying the set of items, and coding all sources for items, the authors prepared a near-final list of items and descriptions and sent this list to five external reviewers for feedback. The final items and descriptions included in the reporting standards reflect this feedback. Results The Standards for Reporting Qualitative Research (SRQR) consists of 21 items. The authors define and explain key elements of each item and provide examples from recently published articles to illustrate ways in which the standards can be met. Conclusions The SRQR aims to improve the transparency of all aspects of qualitative research by providing clear standards for reporting qualitative research. These standards will assist authors during manuscript preparation, editors and reviewers in evaluating a manuscript for potential publication, and readers when critically appraising, applying, and synthesizing study findings.",,10.1097/ACM.0000000000000388,,NA,
rayyan-433008596,META-ANALYSIS OF ECONOMICS RESEARCH REPORTING GUIDELINES,2013,4,1,JOURNAL OF ECONOMIC SURVEYS,0950-0804,27,2,390-394,"Stanley, T. D. and Doucouliagos, Hristos and Giles, Margaret and Heckemeyer, Jost H. and Johnston, Robert J. and Laroche, Patrice and Nelson, Jon P. and Paldam, Martin and Poot, Jacques and Pugh, Geoff and Rosenberger, Randall S. and Rost, Katja",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Meta-regression analysis (MRA) can provide objective and comprehensive summaries of economics research. Their use has grown rapidly over the last few decades. To improve transparency and to raise the quality of MRA, the meta-analysis of economics research-network (MAER-Net) has created the below reporting guidelines. Future meta-analyses in economics will be expected to follow these guidelines or give valid reasons why a meta-analysis must deviate from them.",,10.1111/joes.12008,Meta-analysis;Meta-regression analysis,NA,
rayyan-433008597,"Preferred reporting items for systematic review and meta-analysis of diagnostic test accuracy studies (PRISMA-DTA): explanation, elaboration, and checklist.",2020,8,14,BMJ (Clinical research ed.),1756-1833 (Electronic),370,NA,m2632,Salameh JP and Bossuyt PM and McGrath TA and Thombs BD and Hyde CJ and Macaskill P and Deeks JJ and Leeflang M and Korevaar DA and Whiting P and Takwoingi Y and Reitsma JB and Cohen JF and Frank RA and Hunt HA and Hooft L and Rutjes AWS and Willis BH and Gatsonis C and Levis B and Moher D and McInnes MDF,https://pubmed.ncbi.nlm.nih.gov/32816740/,eng,,England,,,10.1136/bmj.m2632,"Humans;Checklist;*Diagnostic Tests, Routine/standards;Editorial Policies;Evidence-Based Medicine;Guidelines as Topic;*Meta-Analysis as Topic;Periodicals as Topic;*Research Report/standards;Systematic Reviews as Topic",32816740,
rayyan-433008598,CONSORT and QUOROM guidelines for reporting randomized clinical trials and systematic reviews,2005,12,1,AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,0889-5406,128,6,681-685,"Turpin, DL",,English,MOSBY-ELSEVIER,"360 PARK AVENUE SOUTH, NEW YORK, NY 10010-1710 USA",,,10.1016/j.ajodo.2005.10.010,,NA,
rayyan-433008600,A Beginner's Guide to Open and Reproducible Systematic Reviews in Psychology,2024,12,1,COLLABRA-PSYCHOLOGY,2474-7394,10,1,,"Carlsson, Rickard and Batinovic, Lucija and Hyltse, Natalie and Kalmendal, Andre and Nordstrom, Thomas and Topor, Marta",,English,UNIV CALIFORNIA PRESS,"155 GRAND AVE, SUITE 400, OAKLAND, CA 94612-3758 USA","This paper provides guidance and tools for conducting open and reproducible systematic reviews in psychology. It emphasizes the importance of systematic reviews for evidence-based decision-making and the growing adoption of open science practices. Open science enhances transparency, reproducibility, and minimizes bias in systematic reviews by sharing data, materials, and code. It also fosters collaborations and enables involvement of non-academic stakeholders. The paper is designed for beginners, offering accessible guidance to navigate the many standards and resources that may not obviously align with specific areas of psychology. It covers systematic review conduct standards, pre-registration, registered reports, reporting standards, and open data, materials and code. The paper is concluded with a glimpse of recent innovations like Community Augmented Meta-Analysis and independent reproducibility checks.",,10.1525/collabra.126218,systematic review;open science;reproducibility;guide,NA,
rayyan-433008601,A structured approach to documenting a search strategy for publication: a 12 step guideline for authors.,2012,11,1,Nurse education today,1532-2793 (Electronic),32,8,878-86,Kable AK and Pich J and Maslin-Prothero SE,https://pubmed.ncbi.nlm.nih.gov/22633885/,eng,,Scotland,"AIM: This paper describes a structured approach for documenting a search strategy, prior to the scholarly critique and review of the retrieved literature. BACKGROUND AND CONTEXT: There has been a shift in publication expectations when it comes to the presentation of a literature review, from the more traditional narrative review to a more systematic approach, following a specific framework. METHODS: This paper presents a 12 step framework for documenting the search strategy prior to undertaking a critique and synthesis of the retrieved literature. The authors provide a worked example about potential sources of cross contamination including hospital bath basins and soap and water bathing. DISCUSSION: An overview of the 12 step framework is presented. This includes step-by-step instructions on how to conduct and write a search strategy for a literature review. A number of resources available for creating reviews and critiquing reviews are referenced, but these are not exclusive. CONCLUSION: Reviews can be an important and valuable contribution when undertaken well, providing the reader with evidence of a clear structure. This paper provides a 12 step framework that will be of benefit to students, educationalists, and researchers required to embark on a review.",,10.1016/j.nedt.2012.02.022,Documentation/*methods;*Guidelines as Topic;Humans;Nursing Methodology Research;*Review Literature as Topic,22633885,
rayyan-433008602,Developing reporting checklist items from systematic review findings: a roadmap and lessons to be learned from ACCORD.,2024,10,1,Journal of clinical epidemiology,1878-5921 (Electronic),174,NA,111490,van Zuuren EJ and Price A and Blazey P and Hughes EL and Fedorowicz Z and Logullo P,https://pubmed.ncbi.nlm.nih.gov/39098562/,eng,,United States,"OBJECTIVES: To demonstrate how researchers can identify and translate reporting gaps from a systematic review into checklist items for reporting guidelines. STUDY DESIGN AND SETTING: Good quality research reporting ensures transparency, reproducibility, and utility, facilitated by reporting guidelines. Conducting a systematic review is an essential step in the development of these guidelines. The Enhancing the QUAlity and Transparency Of health Research (EQUATOR) Network's toolkit (2010) assists researchers in this process and is due for an update to address current gaps and evolving research methods. One significant gap is the translation of systematic review findings into checklist items. Reflecting on our experience developing the ACcurate Consensus Reporting Document, we illustrate this translation process aiming to empower researchers developing reporting guidelines to address potential biases and promote transparency. We highlight the challenges faced and how they were addressed. RESULTS: The systematic review search process was iterative, involving multiple adjustments to balance precision and sensitivity. Excessively stringent exclusion criteria may lead to missed valuable insights, especially when studies offer relevant content. An information specialist was invaluable in developing the search strategy. Key lessons learned include the necessity of maintaining flexibility and openness during data extraction, continuous adaptation based on panelist feedback, and promoting clear communication through understandable language. These principles can guide the development of future reporting guidelines and the updating of the EQUATOR toolkit, promoting transparency and robustness in research reporting. CONCLUSION: Maintaining flexibility, capturing evolving insights, clear communication, and accommodating changes in research and technologies are key to translating systematic review findings into effective reporting checklists.",,10.1016/j.jclinepi.2024.111490,*Checklist/standards;Humans;*Systematic Reviews as Topic/standards/methods;Research Design/standards;Guidelines as Topic;Reproducibility of Results;Research Report/standards,39098562,
rayyan-433008603,A blueprint for patient and public involvement in the development of a reporting guideline for systematic reviews of outcome measurement instruments: PRISMA-COSMIN for OMIs 2024,2024,NA,1,Research Involvement and Engagement,20567529 (ISSN),10,1,,"Elsman, E.B.M. and Smith, M. and Hofstetter, C. and Gavin, F. and Jobson, E. and Markham, S. and Ricketts, J. and Baba, A. and Butcher, N.J. and Offringa, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188467721&doi=10.1186%2Fs40900-024-00563-5&partnerID=40&md5=6b54ae6bbc0dec43f854f0f3688590f4,English,BioMed Central Ltd,"[""SickKids Research Institute, Child Health Evaluative Sciences, Toronto, Canada"", ""Vrije Universiteit Amsterdam, Amsterdam, Netherlands"", ""Patient Partner, Ottawa, Canada"", ""Patient Partner, Toronto, Canada"", ""Chair of the Public Advisory Council of The Health Data Research Network (Canada), Toronto, Canada"", ""EUPATI Fellow, Nyon, Switzerland"", ""King's College London, London, United Kingdom"", ""Patient and Public Contributor, Halifax, Canada"", ""University of Toronto, Department of Psychiatry, Toronto, Canada"", ""Institute of Health Policy, Management and Evaluation, Toronto, Canada"", ""The Hospital for Sick Children, Toronto, Canada""]","Background: In recent years, projects to develop reporting guidelines have attempted to integrate the perspectives of patients and public members. Best practices for patient and public involvement (PPI) in such projects have not yet been established. We recently developed an extension of PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses), to be used for systematic reviews of outcome measurement instruments (OMIs): PRISMA-COSMIN (COnsensus-based Standards for the selection of health Measurement INstruments) for OMIs 2024. Patients and public members formed a small but impactful stakeholder group. We critically evaluated the PPI component in this project and developed recommendations for conducting PPI when developing reporting guidelines. Main text: A patient partner was an integral research team member at the project development and grant application stage. Once the project started, five patient and public contributors (PPCs) were recruited to participate in the Delphi study; three PPCs contributed to subsequent steps. We collected quantitative feedback through surveys; qualitative feedback was garnered through a focus group discussion after the Delphi study and through debrief meetings after subsequent project activities. Feedback was thematically combined with reflections from the research team, and was predominantly positive. The following themes emerged: importance of PPI partnership, number of PPCs involved, onboarding, design of Delphi surveys, flexibility in the process, complexity of PPI in methodological research, and power imbalances. Impacts of PPI on the content and presentation of the reporting guideline were evident, and reciprocal learning between PPCs and the research team occurred throughout the project. Lessons learned were translated into 17 recommendations for future projects. Conclusion: Integrating PPI in the development of PRISMA-COSMIN for OMIs 2024 was feasible and considered valuable by PPCs and the research team. Our approach can be applied by others wishing to integrate PPI in developing reporting guidelines. © 2024 Elsevier B.V., All rights reserved.",Export Date: 19 September 2025; Cited By: 12,10.1186/s40900-024-00563-5,Cosmin;Outcome Measurement Instrument;Patient And Public Involvement (ppi);Patient Engagement;Prisma;Reporting Guideline;Systematic Reviews,NA,
rayyan-433008604,Guidance on the implementation and reporting of a drug safety Bayesian network meta-analysis.,2014,1,1,Pharmaceutical statistics,1539-1612 (Electronic),13,1,55-70,Ohlssen D and Price KL and Xia HA and Hong H and Kerman J and Fu H and Quartey G and Heilmann CR and Ma H and Carlin BP,https://pubmed.ncbi.nlm.nih.gov/24038897/,eng,,England,"The Drug Information Association Bayesian Scientific Working Group (BSWG) was formed in 2011 with a vision to ensure that Bayesian methods are well understood and broadly utilized for design and analysis and throughout the medical product development process, and to improve industrial, regulatory, and economic decision making. The group, composed of individuals from academia, industry, and regulatory, has as its mission to facilitate the appropriate use and contribute to the progress of Bayesian methodology. In this paper, the safety sub-team of the BSWG explores the use of Bayesian methods when applied to drug safety meta-analysis and network meta-analysis. Guidance is presented on the conduct and reporting of such analyses. We also discuss different structural model assumptions and provide discussion on prior specification. The work is illustrated through a case study involving a network meta-analysis related to the cardiovascular safety of non-steroidal anti-inflammatory drugs.",,10.1002/pst.1592,"Anti-Inflammatory Agents, Non-Steroidal/*adverse effects;*Bayes Theorem;Cardiovascular Diseases/chemically induced;Drug Discovery;Humans;*Meta-Analysis as Topic",24038897,
rayyan-433008605,A Comprehensive Guide to Conducting Systematic Reviews,2024,NA,1,,9798369364840 (ISBN); 9798369364826 (ISBN),NA,NA,115-135,"Cong-Lem, N.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196609457&doi=10.4018%2F979-8-3693-6482-6.ch006&partnerID=40&md5=a94926bb2d508a16237d22a276cff407,English,IGI Global,"Monash University, Melbourne, Australia","This chapter serves as a comprehensive guide for conducting systematic reviews (SRs) in applied linguistics. SRs play a crucial role in this field, allowing researchers to analyze and synthesize existing research, facilitating evidence-based decisions and advancements. The chapter provides detailed guidance on conducting an SR, including formulating clear research questions, developing effective search strategies, screening and selecting studies based on predefined criteria, extracting and synthesizing data, appraising the quality of included studies, and reporting findings clearly. A checklist tailored for appraising studies within applied linguistics ensures comprehensive evaluation of quality and relevance. Additionally, the chapter explores using generative artificial intelligence (GenAI) tools to streamline and enhance the SR process, discussing applications, opportunities, and challenges. In summary, this chapter serves as a comprehensive roadmap, equipping researchers with the knowledge and tools to conduct rigorous and innovative SRs in applied linguistics. © 2024 Elsevier B.V., All rights reserved.",Export Date: 19 September 2025; Cited By: 1,10.4018/979-8-3693-6482-6.ch006,,NA,
