key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-433008572,Best practice guidance and reporting items for the development of scoping review protocols.,2022,4,1,JBI evidence synthesis,2689-8381 (Electronic),20,4,953-968,Peters MDJ and Godfrey C and McInerney P and Khalil H and Larsen P and Marnie C and Pollock D and Tricco AC and Munn Z,https://pubmed.ncbi.nlm.nih.gov/35102103/,eng,,United States,"OBJECTIVE: The purpose of this article is to clearly describe how to develop a robust and detailed scoping review protocol, which is the first stage of the scoping review process. This paper provides detailed guidance and a checklist for prospective authors to ensure that their protocols adequately inform both the conduct of the ensuing review and their readership. INTRODUCTION: Scoping reviews are a common approach to evidence synthesis for researchers, clinicians, and policymakers across a variety of fields. Scoping reviews are not concerned with making analytical comparisons based on pooling results data from multiple primary sources of evidence, but rather on collating and describing the evidence and presenting the summation in a clearly illustrated format. Methods for undertaking and reporting scoping reviews continue to be refined. Some prospective reviewers may be uncertain how to plan, structure, and report scoping review protocols, as there is little or no specific guidance for scoping review protocols yet available. METHODS: This guidance was developed by members of the JBI Scoping Review Methodology Group based on previous experience and expertise in developing scoping review and evidence synthesis methodologies, protocols, and reviews, as well as through experiences working with and guiding authors to develop scoping review protocols. Elements of a comprehensive scoping review protocol are outlined and explained in detail. CONCLUSION: Knowledge users of evidence syntheses rely on clear and transparent reporting to understand and use the results of published work to drive evidence-based improvements within health care and beyond. It is hoped that readers will be able to use this guidance when developing protocols to assist them in planning future scoping reviews and to carry them out with a high degree of transparency.",,10.11124/JBIES-21-00242,Humans;Knowledge;Prospective Studies;*Publications;*Research Personnel;Scoping Reviews As Topic,35102103,
rayyan-433008573,"Summarizing systematic reviews: methodological development, conduct and reporting of an umbrella review approach.",2015,9,1,International journal of evidence-based healthcare,1744-1609 (Electronic),13,3,132-40,Aromataris E and Fernandez R and Godfrey CM and Holly C and Khalil H and Tungpunkom P,https://pubmed.ncbi.nlm.nih.gov/26360830/,eng,,Australia,"AIMS: With the increase in the number of systematic reviews available, a logical next step to provide decision makers in healthcare with the evidence they require has been the conduct of reviews of existing systematic reviews. Syntheses of existing systematic reviews are referred to by many different names, one of which is an umbrella review. An umbrella review allows the findings of reviews relevant to a review question to be compared and contrasted. An umbrella review's most characteristic feature is that this type of evidence synthesis only considers for inclusion the highest level of evidence, namely other systematic reviews and meta-analyses. A methodology working group was formed by the Joanna Briggs Institute to develop methodological guidance for the conduct of an umbrella review, including diverse types of evidence, both quantitative and qualitative. The aim of this study is to describe the development and guidance for the conduct of an umbrella review. METHODS: Discussion and testing of the elements of methods for the conduct of an umbrella review were held over a 6-month period by members of a methodology working group. The working group comprised six participants who corresponded via teleconference, e-mail and face-to-face meeting during this development period. In October 2013, the methodology was presented in a workshop at the Joanna Briggs Institute Convention. Workshop participants, review authors and methodologists provided further testing, critique and feedback on the proposed methodology. RESULTS: This study describes the methodology and methods developed for the conduct of an umbrella review that includes published systematic reviews and meta-analyses as the analytical unit of the review. Details are provided regarding the essential elements of an umbrella review, including presentation of the review question in a Population, Intervention, Comparator, Outcome format, nuances of the inclusion criteria and search strategy. A critical appraisal tool with 10 questions to help assess risk of bias in systematic reviews and meta-analyses was also developed and tested. Relevant details to extract from included reviews and how to best present the findings of both quantitative and qualitative systematic reviews in a reader friendly format are provided. CONCLUSIONS: Umbrella reviews provide a ready means for decision makers in healthcare to gain a clear understanding of a broad topic area. The umbrella review methodology described here is the first to consider reviews that report other than quantitative evidence derived from randomized controlled trials. The methodology includes an easy to use and informative summary of evidence table to readily provide decision makers with the available, highest level of evidence relevant to the question posed.",,10.1097/XEB.0000000000000055,Bias;Empirical Research;Evidence-Based Medicine/*organization & administration/standards;Guidelines as Topic;Humans;*Meta-Analysis as Topic;Research Design/*standards;*Review Literature as Topic;*Systematic Reviews as Topic,26360830,
rayyan-433008576,Preferred Reporting Items for a Systematic Review and Meta-analysis of Diagnostic Test Accuracy Studies: The PRISMA-DTA Statement.,2018,1,23,JAMA,1538-3598 (Electronic),319,4,388-396,McInnes MDF and Moher D and Thombs BD and McGrath TA and Bossuyt PM and Clifford T and Cohen JF and Deeks JJ and Gatsonis C and Hooft L and Hunt HA and Hyde CJ and Korevaar DA and Leeflang MMG and Macaskill P and Reitsma JB and Rodin R and Rutjes AWS and Salameh JP and Stevens A and Takwoingi Y and Tonelli M and Weeks L and Whiting P and Willis BH,https://pubmed.ncbi.nlm.nih.gov/29362800/,eng,,United States,"IMPORTANCE: Systematic reviews of diagnostic test accuracy synthesize data from primary diagnostic studies that have evaluated the accuracy of 1 or more index tests against a reference standard, provide estimates of test performance, allow comparisons of the accuracy of different tests, and facilitate the identification of sources of variability in test accuracy. OBJECTIVE: To develop the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) diagnostic test accuracy guideline as a stand-alone extension of the PRISMA statement. Modifications to the PRISMA statement reflect the specific requirements for reporting of systematic reviews and meta-analyses of diagnostic test accuracy studies and the abstracts for these reviews. DESIGN: Established standards from the Enhancing the Quality and Transparency of Health Research (EQUATOR) Network were followed for the development of the guideline. The original PRISMA statement was used as a framework on which to modify and add items. A group of 24 multidisciplinary experts used a systematic review of articles on existing reporting guidelines and methods, a 3-round Delphi process, a consensus meeting, pilot testing, and iterative refinement to develop the PRISMA diagnostic test accuracy guideline. The final version of the PRISMA diagnostic test accuracy guideline checklist was approved by the group. FINDINGS: The systematic review (produced 64 items) and the Delphi process (provided feedback on 7 proposed items; 1 item was later split into 2 items) identified 71 potentially relevant items for consideration. The Delphi process reduced these to 60 items that were discussed at the consensus meeting. Following the meeting, pilot testing and iterative feedback were used to generate the 27-item PRISMA diagnostic test accuracy checklist. To reflect specific or optimal contemporary systematic review methods for diagnostic test accuracy, 8 of the 27 original PRISMA items were left unchanged, 17 were modified, 2 were added, and 2 were omitted. CONCLUSIONS AND RELEVANCE: The 27-item PRISMA diagnostic test accuracy checklist provides specific guidance for reporting of systematic reviews. The PRISMA diagnostic test accuracy guideline can facilitate the transparent reporting of reviews, and may assist in the evaluation of validity and applicability, enhance replicability of reviews, and make the results from systematic reviews of diagnostic test accuracy studies more useful.",,10.1001/jama.2017.19163,*Checklist;Consensus Development Conferences as Topic;Delphi Technique;*Diagnostic Techniques and Procedures/standards;*Guidelines as Topic;*Meta-Analysis as Topic;Reproducibility of Results;*Systematic Reviews as Topic,29362800,
rayyan-433008577,Improving reporting of meta-ethnography: The eMERGe reporting guidance.,2019,5,1,Journal of advanced nursing,1365-2648 (Electronic),75,5,1126-1139,France EF and Cunningham M and Ring N and Uny I and Duncan EA and Jepson RG and Maxwell M and Roberts RJ and Turley RL and Booth A and Britten N and Flemming K and Gallagher I and Garside R and Hannes K and Lewin S and Noblit GW and Pope C and Thomas J and Vanstone M and Higginbottom GMA and Noyes J,https://pubmed.ncbi.nlm.nih.gov/30644123/,eng,,England,"AIMS: The aim of this study was to provide guidance to improve the completeness and clarity of meta-ethnography reporting. BACKGROUND: Evidence-based policy and practice require robust evidence syntheses which can further understanding of people's experiences and associated social processes. Meta-ethnography is a rigorous seven-phase qualitative evidence synthesis methodology, developed by Noblit and Hare. Meta-ethnography is used widely in health research, but reporting is often poor quality and this discourages trust in and use of its findings. Meta-ethnography reporting guidance is needed to improve reporting quality. DESIGN: The eMERGe study used a rigorous mixed-methods design and evidence-based methods to develop the novel reporting guidance and explanatory notes. METHODS: The study, conducted from 2015 - 2017, comprised of: (1) a methodological systematic review of guidance for meta-ethnography conduct and reporting; (2) a review and audit of published meta-ethnographies to identify good practice principles; (3) international, multidisciplinary consensus-building processes to agree guidance content; (4) innovative development of the guidance and explanatory notes. FINDINGS: Recommendations and good practice for all seven phases of meta-ethnography conduct and reporting were newly identified leading to 19 reporting criteria and accompanying detailed guidance. CONCLUSION: The bespoke eMERGe Reporting Guidance, which incorporates new methodological developments and advances the methodology, can help researchers to report the important aspects of meta-ethnography. Use of the guidance should raise reporting quality. Better reporting could make assessments of confidence in the findings more robust and increase use of meta-ethnography outputs to improve practice, policy, and service user outcomes in health and other fields. This is the first tailored reporting guideline for meta-ethnography. This article is being simultaneously published in the following journals: Journal of Advanced Nursing, Psycho-oncology, Review of Education, and BMC Medical Research Methodology.",,10.1111/jan.13809,"Anthropology, Cultural/*standards;Biomedical Research/*standards;*Guidelines as Topic;Humans;Qualitative Research;Research Design/*standards;Research Report/*standards",30644123,PMC7594209
rayyan-433008578,Advice for improving the reproducibility of data extraction in meta-analysis.,2023,11,1,Research synthesis methods,1759-2887 (Electronic),14,6,911-915,Ivimey-Cook ER and Noble DWA and Nakagawa S and Lajeunesse MJ and Pick JL,https://pubmed.ncbi.nlm.nih.gov/37571802/,eng,,England,"Extracting data from studies is the norm in meta-analyses, enabling researchers to generate effect sizes when raw data are otherwise not available. While there has been a general push for increased reproducibility in meta-analysis, the transparency and reproducibility of the data extraction phase is still lagging behind. Unfortunately, there is little guidance of how to make this process more transparent and shareable. To address this, we provide several steps to help increase the reproducibility of data extraction in meta-analysis. We also provide suggestions of R software that can further help with reproducible data policies: the shinyDigitise and juicr packages. Adopting the guiding principles listed here and using the appropriate software will provide a more transparent form of data extraction in meta-analyses.",,10.1002/jrsm.1663,Reproducibility of Results;*Software,37571802,
rayyan-433008579,Rapid review method series: interim guidance for the reporting of rapid reviews.,2025,3,21,BMJ evidence-based medicine,2515-4478 (Electronic),30,2,118-123,Stevens A and Hersi M and Garritty C and Hartling L and Shea BJ and Stewart LA and Welch VA and Tricco AC,https://pubmed.ncbi.nlm.nih.gov/39038926/,eng,,England,"Rapid reviews (RRs) are produced using abbreviated methods compared with standard systematic reviews (SR) to expedite the process for decision-making. This paper provides interim guidance to support the complete reporting of RRs. Recommendations emerged from a survey informed by empirical studies of RR reporting, in addition to collective experience. RR producers should use existing, robustly developed reporting guidelines as the foundation for writing RRs: notably Preferred Reporting Items for Systematic Reviews and Meta-Analyses 2020 (PRISMA 2020; reporting for SRs), but also preferred reporting items for overviews of reviews (PRIOR) items (reporting for overviews of SRs) where SRs are included in the RR. In addition, a minimum set of six items were identified for RRs: three items pertaining to methods and three addressing publication ethics. Authors should be reporting what a priori-defined iterative methods were used during conduct, what distinguishes their RR from an SR, and knowledge user (eg, policymaker) involvement in the process. Explicitly reporting deviations from standard SR methods, including omitted steps, is important. The inclusion of publication ethics items reflects the predominance of non-journal published RRs: reporting an authorship byline and corresponding author, acknowledging other contributors, and reporting the use of expert peer review. As various formats may be used when packaging and presenting information to decision-makers, it is practical to think of complete reporting as across a set of explicitly linked documents made available in an open-access journal or repository that is barrier-free. We encourage feedback from the RR community of the use of these items as we look to develop a consolidated list in the development of PRISMA-RR.",,10.1136/bmjebm-2024-112899,Humans;*Systematic Reviews as Topic/methods;*Guidelines as Topic;*Research Design/standards;Publishing/standards,39038926,PMC12013547
rayyan-433008580,Guides for the Successful Conduct and Reporting of Systematic Review and Meta-Analysis of Diagnostic Test Accuracy Studies.,2022,3,1,Korean journal of radiology,2005-8330 (Electronic),23,3,295-297,Park SH,https://pubmed.ncbi.nlm.nih.gov/35213093/,eng,,Korea (South),,,10.3348/kjr.2021.0963,"*Diagnostic Tests, Routine;Humans",35213093,PMC8876650
rayyan-433008581,,2019,2,1,,,NA,NA,,Cunningham M and France EF and Ring N and Uny I and Duncan EAS and Roberts RJ and Jepson RG and Maxwell M and Turley RL and Noyes J,https://pubmed.ncbi.nlm.nih.gov/30758932/,eng,,Southampton (UK),"BACKGROUND: Meta-ethnography is a commonly used methodology for qualitative evidence synthesis. Research has identified that the quality of reporting of published meta-ethnographies is often poor and this has limited the utility of meta-ethnography findings to influence policy and practice. OBJECTIVE: To develop guidance to improve the completeness and clarity of meta-ethnography reporting. METHODS/DESIGN: The meta-ethnography reporting guidance (eMERGe) study followed the recommended approach for developing health research reporting guidelines and used a systematic mixed-methods approach. It comprised (1) a methodological systematic review of guidance in the conduct and reporting of meta-ethnography; (2) a review and audit of published meta-ethnographies, along with interviews with meta-ethnography end-users, to identify good practice principles; (3) a consensus workshop and two eDelphi (Version 1, Duncan E, Swinger K, University of Stirling, Stirling, UK) studies to agree guidance content; and (4) the development of the guidance table and explanatory notes. RESULTS: Results from the methodological systematic review and the audit of published meta-ethnographies revealed that more guidance was required around the reporting of all phases of meta-ethnography conduct and, in particular, the synthesis phases 4–6 (relating studies, translating studies into one another and synthesising translations). Following the guidance development process, the eMERGe reporting guidance was produced, comprising 19 items grouped into the seven phases of meta-ethnography. LIMITATIONS: The finalised guidance has not yet been evaluated in practice; therefore, it is not possible at this stage to comment on its utility. However, we look forward to evaluating its uptake and usability in the future. CONCLUSIONS: The eMERGe reporting guidance has been developed following a rigorous process in line with guideline development recommendations. The guidance is intended to improve the clarity and completeness of reporting of meta-ethnographies, and to facilitate use of the findings within the guidance to inform the design and delivery of services and interventions in health, social care and other fields. The eMERGe project developed a range of training materials to support use of the guidance, which is freely available at www.emergeproject.org (accessed 26 March 2018). Meta-ethnography is an evolving qualitative evidence synthesis methodology and future research should refine the guidance to accommodate future methodological developments. We will also investigate the impact of the eMERGe reporting guidance with a view to updating the guidance. STUDY REGISTRATION: This study is registered as PROSPERO CRD42015024709 for the stage 1 systematic review. FUNDING: The National Institute for Health Research Health Services and Delivery Research programme.",,10.3310/hsdr07040,,30758932,
rayyan-433008582,Protocol-developing meta-ethnography reporting guidelines (eMERGe).,2015,11,25,BMC medical research methodology,1471-2288 (Electronic),15,NA,103,France EF and Ring N and Noyes J and Maxwell M and Jepson R and Duncan E and Turley R and Jones D and Uny I,https://pubmed.ncbi.nlm.nih.gov/26606922/,eng,,England,"BACKGROUND: Designing and implementing high-quality health care services and interventions requires robustly synthesised evidence. Syntheses of qualitative research studies can provide evidence of patients' experiences of health conditions; intervention feasibility, appropriateness and acceptability to patients; and advance understanding of health care issues. The unique, interpretive, theory-based meta-ethnography synthesis approach is suited to conveying patients' views and developing theory to inform service design and delivery. However, meta-ethnography reporting is often poor quality, which discourages trust in, and use of, meta-ethnography findings. Users of evidence syntheses require reports that clearly articulate analytical processes and findings. Tailored research reporting guidelines can raise reporting standards but none exists for meta-ethnography. This study aims to create an evidence-based meta-ethnography reporting guideline articulating the methodological standards and depth of reporting required to improve reporting quality. METHODS/DESIGN: The mixed-methods design of this National Institute of Health Research-funded study (http://www.stir.ac.uk/emerge/) follows good practice in research reporting guideline development comprising: (1) a methodological systematic review (PROSPERO registration: CRD42015024709) to identify recommendations and guidance in conducting/reporting meta-ethnography; (2) a review and audit of published meta-ethnographies to identify good practice principles and develop standards in conduct/reporting; (3) an online workshop and Delphi studies to agree guideline content with 45 international qualitative synthesis experts and 45 other stakeholders including patients; (4) development and wide dissemination of the guideline and its accompanying detailed explanatory document, a report template for National Institute of Health Research commissioned meta-ethnographies, and training materials on guideline use. DISCUSSION: Meta-ethnography, devised in the field of education, is now used widely in other disciplines. Methodological advances relevant to meta-ethnography conduct exist. The extent of discipline-specific adaptations of meta-ethnography and the fit of any adaptions with the underpinning philosophy of meta-ethnography require investigation. Well-reported meta-ethnography findings could inform clinical decision-making. A bespoke meta-ethnography reporting guideline is needed to improve reporting quality, but to be effective potential users must know it exists, trust it and use it. Therefore, a rigorous study has been designed to develop and promote a guideline. By raising reporting quality, the guideline will maximise the likelihood that high-quality meta-ethnographies will contribute robust evidence to improve health care and patient outcomes.",,10.1186/s12874-015-0068-0,"*Anthropology, Cultural;Evidence-Based Medicine;Humans;Qualitative Research;Research Design",26606922,PMC4660777
rayyan-433008583,Comprehensive Criteria for Reporting Qualitative Research (CCQR): Reporting Guideline for Global Health Qualitative Research Methods.,2024,7,30,International journal of environmental research and public health,1660-4601 (Electronic),21,8,,Sinha P and Paudel B and Mosimann T and Ahmed H and Kovane GP and Moagi M and Phuti A,https://pubmed.ncbi.nlm.nih.gov/39200615/,eng,,Switzerland,"Globally, the demand for qualitative research has risen, driven by the health sector's need for in-depth investigation of complex issues behind any phenomenon that may be inadequately comprehended and that other research methods cannot explore, uncover, or describe. The authors aimed to improve the accessibility and comprehensiveness of reporting guidelines for qualitative research. A comprehensive review of scientific articles was conducted on PubMed, Medline, CINAHL, and Embase, and it retrieved 1989 articles plus 13 more articles through the snowball method. After screening, 17 key articles were identified, which led to the development of Comprehensive Criteria for Reporting Qualitative Research that comprises 14 categories, offering key elements in an organized table. This novel guideline complements the two widely used guidelines, Consolidated Criteria for Reporting Qualitative Research and Standards for Reporting Qualitative Research, by including additional aspects like objectives, existing knowledge, rationale behind methodologies, conclusions, recommendations, and reference citations. The study responds to the rising need for improved qualitative research reporting guidelines in global health.",,10.3390/ijerph21081005,*Qualitative Research;*Guidelines as Topic;*Global Health;Research Design/standards;Humans,39200615,PMC11353496
